sessionId,eventId,eventStartDate,seriesId,seasonYear,trackId,trackName,country,status,canonicalLaps,personalLaps,lengthMi,personalMiles,confidenceClass,sourceGrain,metricGrain,attributionMethod,sourceRef
session_frp_f1600_2019_r7_04_race_1,event_frp_f1600_2019_r7_new_jersey_motorsports_park,2019-09-13,series_frp_f1600,2019,track_new_jersey_motorsports_park_thunderbolt,New Jersey Motorsports Park Thunderbolt Raceway,United States,running,19,19,2.25,42.750,observed_exact,driver_result,driver_physical_race,canonical driver result lapsCompleted,source_frp_f1600_2019_r7_04_race_1_pdf
session_frp_f1600_2019_r7_05_race_2,event_frp_f1600_2019_r7_new_jersey_motorsports_park,2019-09-13,series_frp_f1600,2019,track_new_jersey_motorsports_park_thunderbolt,New Jersey Motorsports Park Thunderbolt Raceway,United States,running,19,19,2.25,42.750,observed_exact,driver_result,driver_physical_race,canonical driver result lapsCompleted,source_frp_f1600_2019_r7_05_race_2_pdf
session_frp_f1600_2019_r7_06_race_3,event_frp_f1600_2019_r7_new_jersey_motorsports_park,2019-09-13,series_frp_f1600,2019,track_new_jersey_motorsports_park_thunderbolt,New Jersey Motorsports Park Thunderbolt Raceway,United States,running,19,19,2.25,42.750,observed_exact,driver_result,driver_physical_race,canonical driver result lapsCompleted,source_frp_f1600_2019_r7_06_race_3_pdf
session_formula_ford_2020_national_oulton_park_race_1,event_formula_ford_2020_national_oulton_park,2020-07-18,series_formula_ford,2020,track_oulton_park_international,Oulton Park,United Kingdom,running,6,6,2.692,16.152,observed_exact,driver_result,driver_physical_race,canonical driver result lapsCompleted,source_formula_ford_2020_national_oulton_park_race_1_classification;source_formula_ford_2020_national_oulton_park_race_1_grid
session_formula_ford_2020_national_oulton_park_race_8,event_formula_ford_2020_national_oulton_park,2020-07-18,series_formula_ford,2020,track_oulton_park_international,Oulton Park,United Kingdom,running,7,7,2.692,18.844,observed_exact,driver_result,driver_physical_race,canonical driver result lapsCompleted,source_formula_ford_2020_national_oulton_park_race_8_classification;source_formula_ford_2020_national_oulton_park_race_8_grid
session_formula_ford_2020_champion_cadwell_race_2,event_formula_ford_2020_champion_cadwell,2020-08-22,series_formula_ford,2020,track_cadwell_park_full,Cadwell Park Circuit,United Kingdom,running,10,10,2.187,21.870,observed_exact,driver_result,driver_physical_race,canonical driver result lapsCompleted,source_formula_ford_2020_champion_cadwell_race_2_classification;source_formula_ford_2020_champion_cadwell_race_2_grid
session_formula_ford_2020_champion_cadwell_race_5,event_formula_ford_2020_champion_cadwell,2020-08-22,series_formula_ford,2020,track_cadwell_park_full,Cadwell Park Circuit,United Kingdom,running,10,10,2.187,21.870,observed_exact,driver_result,driver_physical_race,canonical driver result lapsCompleted,source_formula_ford_2020_champion_cadwell_race_5_classification;source_formula_ford_2020_champion_cadwell_race_5_grid
session_formula_ford_2020_champion_brands_race_5,event_formula_ford_2020_champion_brands,2020-09-12,series_formula_ford,2020,track_brands_hatch_indy,Brands Hatch Circuit,United Kingdom,running,18,18,1.208,21.744,observed_exact,driver_result,driver_physical_race,canonical driver result lapsCompleted,source_formula_ford_2020_champion_brands_race_5_classification;source_formula_ford_2020_champion_brands_race_5_grid
session_formula_ford_2020_champion_brands_race_11,event_formula_ford_2020_champion_brands,2020-09-12,series_formula_ford,2020,track_brands_hatch_indy,Brands Hatch Circuit,United Kingdom,running,18,18,1.208,21.744,observed_exact,driver_result,driver_physical_race,canonical driver result lapsCompleted,source_formula_ford_2020_champion_brands_race_11_classification;source_formula_ford_2020_champion_brands_race_11_grid
session_formula_ford_2020_national_brands_hatch_race_2,event_formula_ford_2020_national_brands_hatch,2020-09-26,series_formula_ford,2020,track_brands_hatch_indy,Brands Hatch Circuit,United Kingdom,running,18,18,1.208,21.744,observed_exact,driver_result,driver_physical_race,canonical driver result lapsCompleted,source_formula_ford_2020_national_brands_hatch_race_2_classification;source_formula_ford_2020_national_brands_hatch_race_2_grid
