sessionId,eventId,eventStartDate,seriesId,seriesName,seasonYear,sessionType,sessionName,trackId,trackName,country,lapsFloor,lengthMi,milesFloor,confidenceClass,sourceGrain,metricGrain,lapField,semanticNote,sourceRef
session_frp_f1600_2019_r3_04_race_1,event_frp_f1600_2019_r3_mid_ohio_sports_car_course,2019-06-28,series_frp_f1600,F1600 Championship Series,2019,race,Race 1,track_mid_ohio_sports_car_course,Mid-Ohio Sports Car Course,United States,18,2.258,40.644,observed_exact,driver_result,driver_physical_session,personalLaps,canonical driver result lapsCompleted,source_frp_f1600_2019_r3_04_race_1_pdf
session_frp_f1600_2019_r3_05_race_2,event_frp_f1600_2019_r3_mid_ohio_sports_car_course,2019-06-28,series_frp_f1600,F1600 Championship Series,2019,race,Race 2,track_mid_ohio_sports_car_course,Mid-Ohio Sports Car Course,United States,18,2.258,40.644,observed_exact,driver_result,driver_physical_session,personalLaps,canonical driver result lapsCompleted,source_frp_f1600_2019_r3_05_race_2_pdf
session_frp_f1600_2019_r3_06_race_3,event_frp_f1600_2019_r3_mid_ohio_sports_car_course,2019-06-28,series_frp_f1600,F1600 Championship Series,2019,race,Race 3,track_mid_ohio_sports_car_course,Mid-Ohio Sports Car Course,United States,18,2.258,40.644,observed_exact,driver_result,driver_physical_session,personalLaps,canonical driver result lapsCompleted,source_frp_f1600_2019_r3_06_race_3_pdf
session_frp_f1600_2019_r4_01_qualifying,event_frp_f1600_2019_r4_virginia_international_raceway,2019-07-26,series_frp_f1600,F1600 Championship Series,2019,qualifying,Qualifying,track_virginia_international_raceway,Virginia International Raceway,United States,10,3.27,32.700,observed_lower_bound,driver_result,driver_physical_session,bestLapNumber,"best lap occurred on lap N; N is a lower bound, never a session total",source_frp_f1600_2019_r4_01_qualifying_pdf
session_frp_f1600_2019_r4_02_race_1,event_frp_f1600_2019_r4_virginia_international_raceway,2019-07-26,series_frp_f1600,F1600 Championship Series,2019,race,Race 1,track_virginia_international_raceway,Virginia International Raceway,United States,13,3.27,42.510,observed_exact,driver_result,driver_physical_session,personalLaps,canonical driver result lapsCompleted,source_frp_f1600_2019_r4_02_race_1_pdf
session_frp_f1600_2019_r4_03_race_2,event_frp_f1600_2019_r4_virginia_international_raceway,2019-07-26,series_frp_f1600,F1600 Championship Series,2019,race,Race 2,track_virginia_international_raceway,Virginia International Raceway,United States,13,3.27,42.510,observed_exact,driver_result,driver_physical_session,personalLaps,canonical driver result lapsCompleted,source_frp_f1600_2019_r4_03_race_2_pdf
session_frp_f1600_2019_r4_04_race_3,event_frp_f1600_2019_r4_virginia_international_raceway,2019-07-26,series_frp_f1600,F1600 Championship Series,2019,race,Race 3,track_virginia_international_raceway,Virginia International Raceway,United States,12,3.27,39.240,observed_exact,driver_result,driver_physical_session,personalLaps,canonical driver result lapsCompleted,source_frp_f1600_2019_r4_04_race_3_pdf
session_frp_f1600_2019_r5_02_race_1,event_frp_f1600_2019_r5_pittsburgh_international_race_complex,2019-08-02,series_frp_f1600,F1600 Championship Series,2019,race,Race 1,track_pittsburgh_international_race_complex,Pittsburgh International Race Complex,United States,14,2.8,39.200,observed_exact,driver_result,driver_physical_session,personalLaps,canonical driver result lapsCompleted,source_frp_f1600_2019_r5_02_race_1_pdf
session_frp_f1600_2019_r5_03_race_2,event_frp_f1600_2019_r5_pittsburgh_international_race_complex,2019-08-02,series_frp_f1600,F1600 Championship Series,2019,race,Race 2,track_pittsburgh_international_race_complex,Pittsburgh International Race Complex,United States,14,2.8,39.200,observed_exact,driver_result,driver_physical_session,personalLaps,canonical driver result lapsCompleted,source_frp_f1600_2019_r5_03_race_2_pdf
session_frp_f1600_2019_r5_04_race_3,event_frp_f1600_2019_r5_pittsburgh_international_race_complex,2019-08-02,series_frp_f1600,F1600 Championship Series,2019,race,Race 3,track_pittsburgh_international_race_complex,Pittsburgh International Race Complex,United States,14,2.8,39.200,observed_exact,driver_result,driver_physical_session,personalLaps,canonical driver result lapsCompleted,source_frp_f1600_2019_r5_04_race_3_pdf
session_frp_f1600_2019_r6_01_practice_1,event_frp_f1600_2019_r6_summit_point,2019-08-23,series_frp_f1600,F1600 Championship Series,2019,practice,Practice 1,track_summit_point_motorsports_park,Summit Point Motorsports Park Main Circuit,United States,7,2.0,14.000,observed_lower_bound,driver_result,driver_physical_session,bestLapNumber,"best lap occurred on lap N; N is a lower bound, never a session total",source_frp_f1600_2019_r6_01_practice_1_pdf
session_frp_f1600_2019_r6_02_practice_2,event_frp_f1600_2019_r6_summit_point,2019-08-23,series_frp_f1600,F1600 Championship Series,2019,practice,Practice 2,track_summit_point_motorsports_park,Summit Point Motorsports Park Main Circuit,United States,8,2.0,16.000,observed_lower_bound,driver_result,driver_physical_session,bestLapNumber,"best lap occurred on lap N; N is a lower bound, never a session total",source_frp_f1600_2019_r6_02_practice_2_pdf
