eventId,eventName,trackName,lapSessionCount,sourceLapRows,validLapCount,qualifyingBestLapSeconds,raceHeatBestLapSeconds,qualifyingMinusRaceHeatBestSeconds,eventBestLapSeconds,eventBestSessionId,eventBestSessionName,wetDryStates,shapeArchetypes,sourceState,sourceHash
event_formula_ford_2020_champion_brands,Champion of Brands 2020,Brands Hatch Indy,3,51,50,50.913,50.651,0.262,50.651,session_formula_ford_2020_champion_brands_race_11,RACE 11,dry,interrupted_or_variable;large_ramp_to_pace,official_lap_analysis_bryce_only_event_progression,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
event_formula_ford_2020_champion_cadwell,The Champion of Cadwell for FF1600 2020,Cadwell Park,3,27,27,92.371,92.68,-0.309,92.371,session_formula_ford_2020_champion_cadwell_qualifying_race_2,QUALIFYING - RACE 2,dry,large_ramp_to_pace;tight_consistent_run,official_lap_analysis_bryce_only_event_progression,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
event_formula_ford_2020_formula_ford_festival,BRSCC Formula Ford Festival 2020,Brands Hatch Indy,4,54,54,50.556,55.248,-4.692,50.556,session_formula_ford_2020_festival_qualifying_heat_1_race_4,QUALIFYING - HEAT 1 (RACE 4),damp;dry;drying;wet,large_ramp_to_pace,official_lap_analysis_bryce_only_event_progression,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
event_formula_ford_2020_national_brands_hatch,BRSCC National FF1600 2020 - Brands Hatch,Brands Hatch Indy,4,71,71,50.136,50.575,-0.439,50.136,session_formula_ford_2020_national_brands_hatch_qualifying_race_2,QUALIFYING - RACE 2,dry,large_ramp_to_pace,official_lap_analysis_bryce_only_event_progression,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
event_formula_ford_2020_national_oulton_park,BRSCC National FF1600 2020 - Oulton Park,Oulton Park International,3,18,17,127.969,125.857,2.112,125.857,session_formula_ford_2020_national_oulton_park_race_8,RACE 8,dry;wet,interrupted_or_variable;large_ramp_to_pace,official_lap_analysis_bryce_only_event_progression,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
event_formula_ford_2020_national_silverstone,BRSCC National FF1600 2020 - Silverstone International,Silverstone International,3,27,26,71.191,79.213,-8.022,71.191,session_formula_ford_2020_national_silverstone_qualifying_race_3,QUALIFYING - RACE 3,drying;unknown;wet,large_ramp_to_pace;progressive_session_shape;sparse_source_window,official_lap_analysis_bryce_only_event_progression,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
event_formula_ford_2020_walter_hayes_trophy,Walter Hayes Trophy 2020,Silverstone National,4,34,34,69.442,65.787,3.655,65.787,session_formula_ford_2020_wht_semi_final_2,SEMI FINAL 2,damp;wet,progressive_session_shape;tight_consistent_run,official_lap_analysis_bryce_only_event_progression,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
