sessionId,raceLabel,seasonYear,trackName,lapRows,startPosition,finishPosition,netLapChartGain,bestRunningPosition,worstRunningPosition,bestSegment,medianCleanTrackSectionPercentile,bestCleanSectionFamilies,weakestCleanSectionFamilies,sourceHash
session_indy_nxt_2024_6318,2024 Grand Prix at Mid-Ohio,2024,Mid-Ohio Sports Car Course,32,18.0,18.0,0.0,18.0,19.0,restart_window L4-4 gain 0.0,0.5294,Turn 12C:0.94 n=28; Turn 13:0.94 n=28; Turn 5:0.88 n=28; Turn 2:0.82 n=28,Turn 1A:0.09 n=28; Turn 1:0.18 n=28; Turn 3:0.29 n=28; Turn 8:0.35 n=28,5d66d442aa62ff829f41a78a998f82218eacb1e92cf10834dc3b4316d03ba7cb
session_indy_nxt_2025_6452,2025 Grand Prix at Mid-Ohio,2025,Mid-Ohio Sports Car Course,33,9.0,12.0,-3.0,9.0,12.0,caution_window L4-5 gain 0.0,0.375,Turn 12:0.88 n=29; Turn 2:0.78 n=29; Turn 5:0.69 n=29; Turn 3:0.62 n=29,Turn 1A:0.06 n=29; Turn 1:0.19 n=29; Turn 8:0.19 n=29; Turn 11:0.19 n=29,5d66d442aa62ff829f41a78a998f82218eacb1e92cf10834dc3b4316d03ba7cb
