sessionId,raceLabel,seasonYear,trackName,lapRows,startPosition,finishPosition,netLapChartGain,bestRunningPosition,worstRunningPosition,bestSegment,medianCleanTrackSectionPercentile,bestCleanSectionFamilies,weakestCleanSectionFamilies,sourceHash
session_indy_nxt_2024_6323,2024 Music City Grand Prix,2024,Nashville Superspeedway,65,11.0,7.0,4.0,6.0,13.0,green_run L1-51 gain 5.0,0.5,Turn 3:0.55 n=57; Turn 1 Entry Turn 1 Exit Turn 2 Entry BackStretch BackStretch:0.50 n=57; Turn 4 Entry Turn 4 Exit:0.50 n=57,Turn 1 Entry Turn 1 Exit Turn 2 Entry BackStretch BackStretch:0.50 n=57; Turn 4 Entry Turn 4 Exit:0.50 n=57; Turn 3:0.55 n=57,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
session_indy_nxt_2025_6447,2025 Music City Grand Prix,2025,Nashville Superspeedway,65,6.0,6.0,0.0,6.0,7.0,green_run L1-31 gain 0.0,0.5714,Turn 3:0.58 n=52; Turn 1 Entry Turn 1 Exit Turn 2 Entry BackStretch BackStretch:0.57 n=52; Turn 4 Entry Turn 4 Exit:0.55 n=52,Turn 4 Entry Turn 4 Exit:0.55 n=52; Turn 1 Entry Turn 1 Exit Turn 2 Entry BackStretch BackStretch:0.57 n=52; Turn 3:0.58 n=52,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
