seasonYear,eventId,eventName,sessionId,raceNumber,sessionName,trackName,trackType,teamName,fieldSize,startPosition,finishPosition,positionGain,finishPercentile,qPrimaryPosition,qSecondFastestPosition,qBestPosition,qBestToFinishDelta,points,status,pitStops,bestLapTime,gapToLeader,sourceFamily,sourceState,confidence,caveat,provenanceRefs,sourceHash
2021,event_gb3_2021_r4_spa_francorchamps,GB3 2021 Round 4 - Spa-Francorchamps,session_gb3_2021_212905_race_3_result,3,Race 3 Result,Circuit de Spa-Francorchamps,road,Carlin,16.0,7.0,14.0,-7.0,0.1875,10.0,9.0,9.0,-5.0,,running,,2:22.359,39.289,2021 TSL official PDFs,official_pdf_classification_grid_and_weather,high,"2021 supports starts and official weather/track conditions from TSL PDFs, but exposes no lap samples, section metrics, or pit sequence.",source_gb3_2021_212905_rc3_bf3_pdf;source_gb3_2021_212905_gr3_bf3_pdf,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
2021,event_gb3_2021_r5_snetterton,GB3 2021 Round 5 - Snetterton,session_gb3_2021_213105_race_1_result,1,Race 1 Result,Snetterton Circuit,road,Carlin,18.0,12.0,11.0,1.0,0.4444,12.0,6.0,6.0,-5.0,,running,,1:46.589,31.037,2021 TSL official PDFs,official_pdf_classification_grid_and_weather,high,"2021 supports starts and official weather/track conditions from TSL PDFs, but exposes no lap samples, section metrics, or pit sequence.",source_gb3_2021_213105_rc1_bf3_pdf;source_gb3_2021_213105_grd_bf3_pdf,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
2021,event_gb3_2021_r5_snetterton,GB3 2021 Round 5 - Snetterton,session_gb3_2021_213105_race_2_result,2,Race 2 Result,Snetterton Circuit,road,Carlin,18.0,6.0,6.0,0.0,0.7222,12.0,6.0,6.0,0.0,,running,,1:45.666,9.068,2021 TSL official PDFs,official_pdf_classification_grid_and_weather,high,"2021 supports starts and official weather/track conditions from TSL PDFs, but exposes no lap samples, section metrics, or pit sequence.",source_gb3_2021_213105_rc2_bf3_pdf;source_gb3_2021_213105_gr2_bf3_pdf,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
2021,event_gb3_2021_r5_snetterton,GB3 2021 Round 5 - Snetterton,session_gb3_2021_213105_race_3_result,3,Race 3 Result,Snetterton Circuit,road,Carlin,18.0,12.0,13.0,-1.0,0.3333,12.0,6.0,6.0,-7.0,,running,,1:46.640,14.162,2021 TSL official PDFs,official_pdf_classification_grid_and_weather,high,"2021 supports starts and official weather/track conditions from TSL PDFs, but exposes no lap samples, section metrics, or pit sequence.",source_gb3_2021_213105_rc3_bf3_pdf;source_gb3_2021_213105_gr3_bf3_pdf,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
2021,event_gb3_2021_r6_oulton_park,GB3 2021 Round 6 - Oulton Park,session_gb3_2021_213605_race_1_result,1,Race 1 Result,Oulton Park,road,Carlin,16.0,15.0,14.0,1.0,0.1875,15.0,15.0,15.0,1.0,,running,,1:32.807,25.473,2021 TSL official PDFs,official_pdf_classification_grid_and_weather,high,"2021 supports starts and official weather/track conditions from TSL PDFs, but exposes no lap samples, section metrics, or pit sequence.",source_gb3_2021_213605_rc1_bf3_pdf;source_gb3_2021_213605_grd_bf3_pdf,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
2021,event_gb3_2021_r6_oulton_park,GB3 2021 Round 6 - Oulton Park,session_gb3_2021_213605_race_2_result,2,Race 2 Result,Oulton Park,road,Carlin,17.0,15.0,8.0,7.0,0.5882,15.0,15.0,15.0,7.0,,running,,1:32.026,19.783,2021 TSL official PDFs,official_pdf_classification_grid_and_weather,high,"2021 supports starts and official weather/track conditions from TSL PDFs, but exposes no lap samples, section metrics, or pit sequence.",source_gb3_2021_213605_rc2_bf3_pdf;source_gb3_2021_213605_gr2_bf3_pdf,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
2021,event_gb3_2021_r6_oulton_park,GB3 2021 Round 6 - Oulton Park,session_gb3_2021_213605_race_3_result,3,Race 3 Result,Oulton Park,road,Carlin,17.0,2.0,13.0,-11.0,0.2941,15.0,15.0,15.0,2.0,,running,,1:45.847,34.174,2021 TSL official PDFs,official_pdf_classification_grid_and_weather,high,"2021 supports starts and official weather/track conditions from TSL PDFs, but exposes no lap samples, section metrics, or pit sequence.",source_gb3_2021_213605_rc3_bf3_pdf;source_gb3_2021_213605_gr3_bf3_pdf,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
2021,event_gb3_2021_r7_donington_park,GB3 2021 Round 7 - Donington Park,session_gb3_2021_214105_race_1_result,1,Race 1 Result,Donington Park,road,Carlin,21.0,12.0,6.0,6.0,0.7619,12.0,13.0,12.0,6.0,,running,,1:25.176,9.215,2021 TSL official PDFs,official_pdf_classification_grid_and_weather,high,"2021 supports starts and official weather/track conditions from TSL PDFs, but exposes no lap samples, section metrics, or pit sequence.",source_gb3_2021_214105_rc1_bf3_pdf;source_gb3_2021_214105_grd_bf3_pdf,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
2021,event_gb3_2021_r7_donington_park,GB3 2021 Round 7 - Donington Park,session_gb3_2021_214105_race_2_result,2,Race 2 Result,Donington Park,road,Carlin,21.0,13.0,6.0,7.0,0.7619,12.0,13.0,12.0,6.0,,running,,1:43.208,22.562,2021 TSL official PDFs,official_pdf_classification_grid_and_weather,high,"2021 supports starts and official weather/track conditions from TSL PDFs, but exposes no lap samples, section metrics, or pit sequence.",source_gb3_2021_214105_rc2_bf3_pdf;source_gb3_2021_214105_gr2_bf3_pdf,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
2021,event_gb3_2021_r7_donington_park,GB3 2021 Round 7 - Donington Park,session_gb3_2021_214105_race_3_result,3,Race 3 Result,Donington Park,road,Carlin,21.0,10.0,13.0,-3.0,0.4286,12.0,13.0,12.0,-1.0,,running,,1:26.157,20.002,2021 TSL official PDFs,official_pdf_classification_grid_and_weather,high,"2021 supports starts and official weather/track conditions from TSL PDFs, but exposes no lap samples, section metrics, or pit sequence.",source_gb3_2021_214105_rc3_bf3_pdf;source_gb3_2021_214105_gr3_bf3_pdf,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
2022,event_gb3_2022_r1_oulton_park,GB3 2022 Round 1 - Oulton Park,session_gb3_2022_778,1,Race 1,Oulton Park,road,Hitech Pulse-Eight,21.0,,12.0,,0.4762,21.0,,21.0,9.0,9.0,running,0.0,01:31:178,32.883,2022 GB3 official JSON,official_api_results_and_pit_counts,high,"2022 supports official GB3 JSON classifications and pit-stop count fields, but exposes no source-backed starts, official weather/track conditions, lap samples, or section metrics.",source_gb3_2022_session_778,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
2022,event_gb3_2022_r1_oulton_park,GB3 2022 Round 1 - Oulton Park,session_gb3_2022_779,2,Race 2,Oulton Park,road,Hitech Pulse-Eight,21.0,,15.0,,0.3333,21.0,,21.0,6.0,6.0,running,0.0,01:30:634,32.641,2022 GB3 official JSON,official_api_results_and_pit_counts,high,"2022 supports official GB3 JSON classifications and pit-stop count fields, but exposes no source-backed starts, official weather/track conditions, lap samples, or section metrics.",source_gb3_2022_session_779,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
2022,event_gb3_2022_r1_oulton_park,GB3 2022 Round 1 - Oulton Park,session_gb3_2022_780,3,Race 3 ,Oulton Park,road,Hitech Pulse-Eight,21.0,,17.0,,0.2381,21.0,,21.0,4.0,4.0,running,0.0,01:31:115,20.052,2022 GB3 official JSON,official_api_results_and_pit_counts,high,"2022 supports official GB3 JSON classifications and pit-stop count fields, but exposes no source-backed starts, official weather/track conditions, lap samples, or section metrics.",source_gb3_2022_session_780,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
2022,event_gb3_2022_r2_silverstone,GB3 2022 Round 2 - Silverstone,session_gb3_2022_1082,4,Race 1,Silverstone Circuit,road,Hitech Pulse-Eight,20.0,,19.0,,0.1,15.0,,15.0,-4.0,2.0,running,0.0,01:56:542,41.304,2022 GB3 official JSON,official_api_results_and_pit_counts,high,"2022 supports official GB3 JSON classifications and pit-stop count fields, but exposes no source-backed starts, official weather/track conditions, lap samples, or section metrics.",source_gb3_2022_session_1082,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
2022,event_gb3_2022_r2_silverstone,GB3 2022 Round 2 - Silverstone,session_gb3_2022_1083,5,Race 2,Silverstone Circuit,road,Hitech Pulse-Eight,20.0,,12.0,,0.45,15.0,,15.0,3.0,9.0,running,0.0,01:54:561,22.939,2022 GB3 official JSON,official_api_results_and_pit_counts,high,"2022 supports official GB3 JSON classifications and pit-stop count fields, but exposes no source-backed starts, official weather/track conditions, lap samples, or section metrics.",source_gb3_2022_session_1083,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
2022,event_gb3_2022_r2_silverstone,GB3 2022 Round 2 - Silverstone,session_gb3_2022_1084,6,Race 3 ,Silverstone Circuit,road,Hitech Pulse-Eight,20.0,,3.0,,0.9,15.0,,15.0,12.0,18.0,running,0.0,01:54:635,3.248,2022 GB3 official JSON,official_api_results_and_pit_counts,high,"2022 supports official GB3 JSON classifications and pit-stop count fields, but exposes no source-backed starts, official weather/track conditions, lap samples, or section metrics.",source_gb3_2022_session_1084,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
2022,event_gb3_2022_r3_donington_park,GB3 2022 Round 3 - Donington Park,session_gb3_2022_1085,7,Race 1,Donington Park,road,Hitech Pulse-Eight,22.0,,12.0,,0.5,21.0,,21.0,9.0,9.0,running,0.0,01:24:605,25.496,2022 GB3 official JSON,official_api_results_and_pit_counts,high,"2022 supports official GB3 JSON classifications and pit-stop count fields, but exposes no source-backed starts, official weather/track conditions, lap samples, or section metrics.",source_gb3_2022_session_1085,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
2022,event_gb3_2022_r3_donington_park,GB3 2022 Round 3 - Donington Park,session_gb3_2022_1257,8,Race 2,Donington Park,road,Hitech Pulse-Eight,22.0,,19.0,,0.1818,21.0,,21.0,2.0,2.0,running,0.0,01:24:757,29.457,2022 GB3 official JSON,official_api_results_and_pit_counts,high,"2022 supports official GB3 JSON classifications and pit-stop count fields, but exposes no source-backed starts, official weather/track conditions, lap samples, or section metrics.",source_gb3_2022_session_1257,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
2022,event_gb3_2022_r3_donington_park,GB3 2022 Round 3 - Donington Park,session_gb3_2022_1087,9,Race 3 ,Donington Park,road,Hitech Pulse-Eight,22.0,,1.0,,1.0,21.0,,21.0,20.0,20.0,running,0.0,01:24:101,,2022 GB3 official JSON,official_api_results_and_pit_counts,high,"2022 supports official GB3 JSON classifications and pit-stop count fields, but exposes no source-backed starts, official weather/track conditions, lap samples, or section metrics.",source_gb3_2022_session_1087,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
2022,event_gb3_2022_r4_snetterton,GB3 2022 Round 4 - Snetterton,session_gb3_2022_1088,10,Race 1,Snetterton Circuit,road,Hitech Pulse-Eight,22.0,,11.0,,0.5455,15.0,,15.0,4.0,10.0,running,0.0,01:43:430,16.742,2022 GB3 official JSON,official_api_results_and_pit_counts,high,"2022 supports official GB3 JSON classifications and pit-stop count fields, but exposes no source-backed starts, official weather/track conditions, lap samples, or section metrics.",source_gb3_2022_session_1088,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
2022,event_gb3_2022_r4_snetterton,GB3 2022 Round 4 - Snetterton,session_gb3_2022_1089,11,Race 2,Snetterton Circuit,road,Hitech Pulse-Eight,22.0,,13.0,,0.4545,15.0,,15.0,2.0,8.0,running,0.0,01:42:932,15.922,2022 GB3 official JSON,official_api_results_and_pit_counts,high,"2022 supports official GB3 JSON classifications and pit-stop count fields, but exposes no source-backed starts, official weather/track conditions, lap samples, or section metrics.",source_gb3_2022_session_1089,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
2022,event_gb3_2022_r4_snetterton,GB3 2022 Round 4 - Snetterton,session_gb3_2022_1305,12,Race 3,Snetterton Circuit,road,Hitech Pulse-Eight,22.0,,,,,15.0,,15.0,,0.0,dsq,0.0,,,2022 GB3 official JSON,official_api_results_and_pit_counts,high,"2022 supports official GB3 JSON classifications and pit-stop count fields, but exposes no source-backed starts, official weather/track conditions, lap samples, or section metrics.",source_gb3_2022_session_1305,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
