seasonYear,eventName,sessionName,sessionType,trackName,observedAt,ambientConditionRaw,trackConditionRaw,wetDry,weatherConfidence,timeConfidence,locationConfidence,bryceFinishPositionIfRace,bryceFinishPercentileIfRace,sourceState,confidence,caveat,provenanceRefs,eventId,sessionId,sourceHash
2021,GB3 2021 Round 3 - Donington Park,Race 1 Result,race,Donington Park,2021-07-10T14:20:00,Cloudy,Dry,dry,official,high,track_exact,13.0,0.2941,official_tsl_session_condition_line,high,Official TSL condition strings provide context only. They do not support causal performance claims.,source_gb3_2021_212705_rc1_bf3_pdf,event_gb3_2021_r3_donington_park,session_gb3_2021_212705_race_1_result,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
2021,GB3 2021 Round 3 - Donington Park,Race 2 Result,race,Donington Park,2021-07-11T10:14:00,Cloudy,Dry,dry,official,high,track_exact,11.0,0.375,official_tsl_session_condition_line,high,Official TSL condition strings provide context only. They do not support causal performance claims.,source_gb3_2021_212705_rc2_bf3_pdf,event_gb3_2021_r3_donington_park,session_gb3_2021_212705_race_2_result,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
2021,GB3 2021 Round 3 - Donington Park,Race 3 Result,race,Donington Park,2021-07-11T15:47:00,Overcast,Dry,dry,official,high,track_exact,4.0,0.8235,official_tsl_session_condition_line,high,Official TSL condition strings provide context only. They do not support causal performance claims.,source_gb3_2021_212705_rc3_bf3_pdf,event_gb3_2021_r3_donington_park,session_gb3_2021_212705_race_3_result,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
2021,GB3 2021 Round 4 - Spa-Francorchamps,Free Practice 1,practice,Circuit de Spa-Francorchamps,2021-07-23T10:00:00,Sunny,Dry,dry,official,high,track_exact,,,official_tsl_session_condition_line,high,Official TSL condition strings provide context only. They do not support causal performance claims.,source_gb3_2021_212905_fp1_bf3_pdf,event_gb3_2021_r4_spa_francorchamps,session_gb3_2021_212905_free_practice_1,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
2021,GB3 2021 Round 4 - Spa-Francorchamps,Free Practice 2,practice,Circuit de Spa-Francorchamps,2021-07-23T11:55:00,Sunny,Dry,dry,official,high,track_exact,,,official_tsl_session_condition_line,high,Official TSL condition strings provide context only. They do not support causal performance claims.,source_gb3_2021_212905_fp2_bf3_pdf,event_gb3_2021_r4_spa_francorchamps,session_gb3_2021_212905_free_practice_2,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
2021,GB3 2021 Round 4 - Spa-Francorchamps,Free Practice 3,practice,Circuit de Spa-Francorchamps,2021-07-23T14:00:00,Sunny,Dry,dry,official,high,track_exact,,,official_tsl_session_condition_line,high,Official TSL condition strings provide context only. They do not support causal performance claims.,source_gb3_2021_212905_fp3_bf3_pdf,event_gb3_2021_r4_spa_francorchamps,session_gb3_2021_212905_free_practice_3,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
2021,GB3 2021 Round 4 - Spa-Francorchamps,Qualifying,qualifying,Circuit de Spa-Francorchamps,2021-07-23T18:15:00,Sunny,Dry,dry,official,high,track_exact,,,official_tsl_session_condition_line,high,Official TSL condition strings provide context only. They do not support causal performance claims.,source_gb3_2021_212905_qu1_bf3_pdf,event_gb3_2021_r4_spa_francorchamps,session_gb3_2021_212905_qualifying,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
2021,GB3 2021 Round 4 - Spa-Francorchamps,Qualifying 2nd Fastest,qualifying,Circuit de Spa-Francorchamps,2021-07-23T18:15:00,Sunny,Dry,dry,official,high,track_exact,,,official_tsl_session_condition_line,high,Official TSL condition strings provide context only. They do not support causal performance claims.,source_gb3_2021_212905_qu2_bf3_pdf,event_gb3_2021_r4_spa_francorchamps,session_gb3_2021_212905_qualifying_2nd_fastest,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
2021,GB3 2021 Round 4 - Spa-Francorchamps,Race 1 Result,race,Circuit de Spa-Francorchamps,2021-07-24T14:33:00,Overcast,Wet,wet,official,high,track_exact,10.0,0.4375,official_tsl_session_condition_line,high,Official TSL condition strings provide context only. They do not support causal performance claims.,source_gb3_2021_212905_rc1_bf3_pdf,event_gb3_2021_r4_spa_francorchamps,session_gb3_2021_212905_race_1_result,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
2021,GB3 2021 Round 4 - Spa-Francorchamps,Race 2 Result,race,Circuit de Spa-Francorchamps,2021-07-24T18:42:00,Overcast,Dry,dry,official,high,track_exact,11.0,0.375,official_tsl_session_condition_line,high,Official TSL condition strings provide context only. They do not support causal performance claims.,source_gb3_2021_212905_rc2_bf3_pdf,event_gb3_2021_r4_spa_francorchamps,session_gb3_2021_212905_race_2_result,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
