sessionId,sessionHour,class,validNonPitLapCount,driverCount,carCount,medianLapSeconds,p25LapSeconds,p75LapSeconds,bestLapSeconds,overallHourMedianLapSeconds,classToOverallMedianDeltaSeconds,sourceState,sourceHash
session_imsa_2025_daytona_rolex_24_race,6,GTD,625,34,21,110.259,109.653,111.077,107.571,109.044,1.215,official_alkamel_time_cards_hourly_class_pace,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_imsa_2025_daytona_rolex_24_race,6,GTDPRO,415,26,14,109.541,109.162,109.954,107.657,109.044,0.497,official_alkamel_time_cards_hourly_class_pace,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_imsa_2025_daytona_rolex_24_race,6,GTP,370,18,11,99.064,98.3798,100.0542,96.578,109.044,-9.98,official_alkamel_time_cards_hourly_class_pace,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_imsa_2025_daytona_rolex_24_race,6,LMP2,391,18,12,101.652,100.8695,103.0895,99.034,109.044,-7.392,official_alkamel_time_cards_hourly_class_pace,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_imsa_2025_daytona_rolex_24_race,7,GTD,448,28,21,155.544,111.6995,177.0307,108.146,149.6505,5.8935,official_alkamel_time_cards_hourly_class_pace,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_imsa_2025_daytona_rolex_24_race,7,GTDPRO,273,14,14,143.792,109.705,175.837,107.706,149.6505,-5.8585,official_alkamel_time_cards_hourly_class_pace,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_imsa_2025_daytona_rolex_24_race,7,GTP,233,14,11,160.114,100.136,175.11,97.25,149.6505,10.4635,official_alkamel_time_cards_hourly_class_pace,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_imsa_2025_daytona_rolex_24_race,7,LMP2,238,19,12,129.5025,104.3247,172.7593,99.64,149.6505,-20.148,official_alkamel_time_cards_hourly_class_pace,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_imsa_2025_daytona_rolex_24_race,8,GTD,624,34,21,109.7825,109.2982,110.6265,107.811,108.938,0.8445,official_alkamel_time_cards_hourly_class_pace,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_imsa_2025_daytona_rolex_24_race,8,GTDPRO,341,18,12,109.153,108.916,109.457,107.878,108.938,0.215,official_alkamel_time_cards_hourly_class_pace,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_imsa_2025_daytona_rolex_24_race,8,GTP,329,15,10,98.765,97.995,99.444,96.592,108.938,-10.173,official_alkamel_time_cards_hourly_class_pace,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_imsa_2025_daytona_rolex_24_race,8,LMP2,314,14,10,101.817,100.7952,103.033,98.96,108.938,-7.121,official_alkamel_time_cards_hourly_class_pace,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_imsa_2025_daytona_rolex_24_race,9,GTD,506,29,21,110.3435,109.7105,134.22,108.155,109.69,0.6535,official_alkamel_time_cards_hourly_class_pace,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_imsa_2025_daytona_rolex_24_race,9,GTDPRO,282,19,12,109.737,109.3055,111.2182,108.318,109.69,0.047,official_alkamel_time_cards_hourly_class_pace,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_imsa_2025_daytona_rolex_24_race,9,GTP,263,17,10,99.518,98.7605,103.738,96.682,109.69,-10.172,official_alkamel_time_cards_hourly_class_pace,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_imsa_2025_daytona_rolex_24_race,9,LMP2,268,17,11,102.7485,101.5575,113.992,99.113,109.69,-6.9415,official_alkamel_time_cards_hourly_class_pace,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_imsa_2025_daytona_rolex_24_race,10,GTD,570,29,21,110.1775,109.3533,111.6153,107.663,109.1935,0.984,official_alkamel_time_cards_hourly_class_pace,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_imsa_2025_daytona_rolex_24_race,10,GTDPRO,302,14,12,109.27,108.6797,111.1432,107.525,109.1935,0.0765,official_alkamel_time_cards_hourly_class_pace,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_imsa_2025_daytona_rolex_24_race,10,GTP,264,13,10,98.8605,98.0147,100.4848,96.628,109.1935,-10.333,official_alkamel_time_cards_hourly_class_pace,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_imsa_2025_daytona_rolex_24_race,10,LMP2,306,15,11,101.3795,100.5138,104.0825,98.876,109.1935,-7.814,official_alkamel_time_cards_hourly_class_pace,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_imsa_2025_daytona_rolex_24_race,11,GTD,589,32,21,109.673,109.148,110.47,107.486,108.8385,0.8345,official_alkamel_time_cards_hourly_class_pace,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_imsa_2025_daytona_rolex_24_race,11,GTDPRO,351,15,12,109.26,108.788,109.7445,107.447,108.8385,0.4215,official_alkamel_time_cards_hourly_class_pace,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_imsa_2025_daytona_rolex_24_race,11,GTP,264,14,9,98.861,98.239,99.4222,96.574,108.8385,-9.9775,official_alkamel_time_cards_hourly_class_pace,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_imsa_2025_daytona_rolex_24_race,11,LMP2,332,17,11,101.212,100.592,101.9967,98.794,108.8385,-7.6265,official_alkamel_time_cards_hourly_class_pace,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_imsa_2025_daytona_rolex_24_race,12,GTD,456,30,21,110.1405,109.225,145.126,107.848,109.6715,0.469,official_alkamel_time_cards_hourly_class_pace,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_imsa_2025_daytona_rolex_24_race,12,GTDPRO,294,19,12,109.874,108.749,152.4645,107.92,109.6715,0.2025,official_alkamel_time_cards_hourly_class_pace,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_imsa_2025_daytona_rolex_24_race,12,GTP,227,11,9,99.738,98.0985,165.6805,96.433,109.6715,-9.9335,official_alkamel_time_cards_hourly_class_pace,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_imsa_2025_daytona_rolex_24_race,12,LMP2,269,13,11,102.12,100.399,141.983,98.438,109.6715,-7.5515,official_alkamel_time_cards_hourly_class_pace,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_imsa_2025_daytona_rolex_24_race,13,GTD,487,30,19,109.64,109.1,110.8225,107.414,108.8265,0.8135,official_alkamel_time_cards_hourly_class_pace,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_imsa_2025_daytona_rolex_24_race,13,GTDPRO,316,17,12,109.011,108.5735,110.0237,107.479,108.8265,0.1845,official_alkamel_time_cards_hourly_class_pace,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
