sessionId,eventId,seasonYear,eventName,trackName,trackType,sessionType,sessionName,bryceLapCount,bryceSectionObservations,comparisonRows,medianTrackSectionPercentile,topQuartileTrackSectionShare,bottomQuartileTrackSectionShare,bestSectionFamilies,weakestSectionFamilies,bestLapRank,topSectionBryceRows,sourceState,sourceHash
session_indy_nxt_2024_6394,event_indy_nxt_2024_5482,2024,Detroit Grand Prix,Streets of Detroit,street,qualifying,Qualifications - Group 2,6,172,80,0.4,0.1,0.25,,,7,35,official_section_results+official_top_section_times,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2024_6402,event_indy_nxt_2024_5472,2024,Grand Prix at Road America,Road America,road,practice,Practice 1,10,291,200,0.6283,0.37,0.125,I4A to I5:0.91 n=10; I13A to I14:0.89 n=10; I7 to I8:0.86 n=10; I1 to I2:0.83 n=10,I12 to I13:0.40 n=10; I8 to I9:0.44 n=10; I1B to I1:0.46 n=10; I5 to I6:0.47 n=10,5,44,official_section_results+official_top_section_times,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2024_6403,event_indy_nxt_2024_5472,2024,Grand Prix at Road America,Road America,road,practice,Practice 2,8,249,160,0.7778,0.5188,0.0375,I12 to I13:0.95 n=8; I1 to I2:0.89 n=8; I5 to I6:0.87 n=8; I13A to I14:0.84 n=8,I4 to I4A:0.49 n=8; I4A to I5:0.62 n=8; I11B to I12:0.64 n=8; I1B to I1:0.68 n=8,11,44,official_section_results+official_top_section_times,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2024_6405,event_indy_nxt_2024_5472,2024,Grand Prix at Road America,Road America,road,qualifying,Qualifications - Group 2,4,115,60,0.65,0.3167,0.1,,,4,44,official_section_results+official_top_section_times,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2024_6413,event_indy_nxt_2024_5473,2024,Grand Prix of Monterey Race 1,WeatherTech Raceway Laguna Seca,road,practice,Practice 1,14,271,210,0.5132,0.2,0.2143,Turn 4:0.79 n=14; Turn 3:0.74 n=14; Turn 1 Entry:0.70 n=14; Turn 4A:0.61 n=14,Turn 11:0.26 n=14; Corkscrew:0.31 n=14; Turn 10:0.35 n=14; Turn 7A:0.37 n=14,14,38,official_section_results+official_top_section_times,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2024_6414,event_indy_nxt_2024_5473,2024,Grand Prix of Monterey Race 1,WeatherTech Raceway Laguna Seca,road,practice,Practice-2,11,203,165,0.5789,0.2788,0.1394,Turn 4A:0.84 n=11; Turn 4:0.79 n=11; Turn 5:0.79 n=11; Turn 3:0.74 n=11,Corkscrew:0.37 n=11; Turn 9:0.37 n=11; Turn 11:0.46 n=11; Turn 10:0.47 n=11,17,38,official_section_results+official_top_section_times,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2024_6416,event_indy_nxt_2024_5473,2024,Grand Prix of Monterey Race 1,WeatherTech Raceway Laguna Seca,road,qualifying,Qualifications - Race 1 Group 2,9,172,120,0.625,0.3667,0.0667,Turn 4:0.88 n=8; Turn 5:0.83 n=8; Turn 4A:0.72 n=8; Turn 1 Entry:0.69 n=8,Turn 9:0.35 n=8; Corkscrew:0.42 n=8; Turn 10:0.50 n=8; Turn 11:0.53 n=8,5,36,official_section_results+official_top_section_times,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2024_6418,event_indy_nxt_2024_5483,2024,Grand Prix of Monterey Race 2,WeatherTech Raceway Laguna Seca,road,qualifying,Qualifications - Race 2 Group 2,9,172,120,0.625,0.3667,0.0667,Turn 4:0.88 n=8; Turn 5:0.83 n=8; Turn 4A:0.72 n=8; Turn 1 Entry:0.69 n=8,Turn 9:0.35 n=8; Corkscrew:0.42 n=8; Turn 10:0.50 n=8; Turn 11:0.53 n=8,5,36,official_section_results+official_top_section_times,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2024_6426,event_indy_nxt_2024_5474,2024,Grand Prix at Mid-Ohio,Mid-Ohio Sports Car Course,road,practice,Practice 1,23,482,368,0.4444,0.1821,0.2717,Back Stretch:0.61 n=23; Turn 1A:0.56 n=23; Turn 5:0.56 n=23; Turn 2:0.50 n=23,Turn 12:0.24 n=23; Turn 12C:0.24 n=23; Turn 1:0.29 n=23; Turn 11:0.30 n=23,7,32,official_section_results+official_top_section_times,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2024_6427,event_indy_nxt_2024_5474,2024,Grand Prix at Mid-Ohio,Mid-Ohio Sports Car Course,road,practice,Practice 2,19,408,286,0.567,0.2727,0.2063,Back Stretch:0.86 n=18; Turn 4:0.77 n=18; Turn 10:0.72 n=18; Turn 3:0.68 n=18,Turn 12C:0.31 n=18; Turn 12:0.34 n=18; Turn 13:0.46 n=18; Turn 1:0.47 n=17,10,32,official_section_results+official_top_section_times,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
