eventId,seasonYear,eventName,trackName,sessionId,sessionType,sessionName,bryceLapCount,comparisonRows,medianTrackSectionPercentile,topQuartileTrackSectionShare,bottomQuartileTrackSectionShare,bestSectionFamilies,weakestSectionFamilies,topSectionBryceRows,sourceState,sourceHash,caveat
event_indy_nxt_2024_5477,2024,Grand Prix of Portland,Portland International Raceway,session_indy_nxt_2024_6494,practice,Practice 1,19,209,0.6667,0.4067,0.0622,Turn 12:0.94 n=19; Turn 8:0.87 n=19; Turn 9:0.80 n=19; Turn 7:0.75 n=19,Turn 2:0.50 n=19; Turn 6:0.53 n=19; Turns 10/11:0.56 n=19; Turn 3:0.60 n=19,28,official_section_results+official_top_section_times,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978,Historical Portland International Raceway prep sessions only; future sessions need live/current data before claims update.
event_indy_nxt_2024_5477,2024,Grand Prix of Portland,Portland International Raceway,session_indy_nxt_2024_6495,practice,Practice 2,26,276,0.5333,0.221,0.1848,Turn 8:0.81 n=25; Turn 9:0.75 n=25; Turn 3:0.60 n=25; Turn 7:0.56 n=25,Turn 1:0.36 n=25; Turn 5:0.40 n=25; Turns 10/11:0.47 n=26; Turn 4:0.47 n=25,28,official_section_results+official_top_section_times,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978,Historical Portland International Raceway prep sessions only; future sessions need live/current data before claims update.
event_indy_nxt_2024_5477,2024,Grand Prix of Portland,Portland International Raceway,session_indy_nxt_2024_6513,qualifying,Qualifications - Group 2,11,89,0.5,0.382,0.2921,Turn 2:0.88 n=8; Turn 9:0.88 n=8; Turn 3:0.81 n=8; Turn 8:0.81 n=8,Turn 1:0.19 n=8; Turn 5:0.25 n=8; Turn 4:0.31 n=8; Turn 6:0.31 n=8,25,official_section_results+official_top_section_times,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978,Historical Portland International Raceway prep sessions only; future sessions need live/current data before claims update.
event_indy_nxt_2025_5491,2025,Grand Prix of Portland,Portland International Raceway,session_indy_nxt_2025_6713,practice,Practice 1,28,295,0.5,0.1492,0.1763,Turn 1:0.63 n=26; Turn 4:0.61 n=27; Turn 6:0.56 n=27; Turns 10/11:0.50 n=28,Turn 9:0.22 n=27; Turn 8:0.39 n=27; Turn 12:0.41 n=27; Turn 7:0.44 n=27,30,official_section_results+official_top_section_times,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978,Historical Portland International Raceway prep sessions only; future sessions need live/current data before claims update.
event_indy_nxt_2025_5491,2025,Grand Prix of Portland,Portland International Raceway,session_indy_nxt_2025_6714,practice,Practice 2,24,221,0.6111,0.3575,0.1719,Turn 12:0.83 n=20; Turn 8:0.76 n=20; Turn 4:0.72 n=20; Turn 3:0.65 n=20,Turn 5:0.53 n=20; Turn 6:0.53 n=20; Turns 10/11:0.56 n=21; Turn 7:0.56 n=20,30,official_section_results+official_top_section_times,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978,Historical Portland International Raceway prep sessions only; future sessions need live/current data before claims update.
event_indy_nxt_2025_5491,2025,Grand Prix of Portland,Portland International Raceway,session_indy_nxt_2025_6716,qualifying,Qualifications - Group 2,7,67,0.7143,0.4925,0.209,,,30,official_section_results+official_top_section_times,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978,Historical Portland International Raceway prep sessions only; future sessions need live/current data before claims update.
