sessionId,eventId,seasonYear,eventName,trackName,trackType,sessionType,sessionName,sectionName,sectionType,rank,fieldSize,percentile,time,timeSeconds,speedMph,lapNumber,sourceState,sourceMetricId,sourceHash
session_indy_nxt_2024_6354,event_indy_nxt_2024_5470,2024,Grand Prix of Alabama,Barber Motorsports Park,road,practice,Practice 1,I6T to I6,track_section,6,23,0.7727,00:00.5263,0.5263,156.757,23,official_top_section_times,metric_indy_nxt_2024_6354_top_section_times,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_indy_nxt_2024_6354,event_indy_nxt_2024_5470,2024,Grand Prix of Alabama,Barber Motorsports Park,road,practice,Practice 1,I7T to I7,track_section,9,21,0.6,00:00.5506,0.5506,123.829,10,official_top_section_times,metric_indy_nxt_2024_6354_top_section_times,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_indy_nxt_2024_6354,event_indy_nxt_2024_5470,2024,Grand Prix of Alabama,Barber Motorsports Park,road,practice,Practice 1,PI to SFP,pit_or_timing_line,13,21,0.4,03:05.3521,185.3521,3.075,0,official_top_section_times,metric_indy_nxt_2024_6354_top_section_times,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_indy_nxt_2024_6354,event_indy_nxt_2024_5470,2024,Grand Prix of Alabama,Barber Motorsports Park,road,practice,Practice 1,SFP to PO,pit_or_timing_line,2,21,0.95,00:08.8003,8.8003,34.555,14,official_top_section_times,metric_indy_nxt_2024_6354_top_section_times,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_indy_nxt_2024_6354,event_indy_nxt_2024_5470,2024,Grand Prix of Alabama,Barber Motorsports Park,road,practice,Practice 1,PIC to PI,pit_or_timing_line,5,21,0.8,00:09.8931,9.8931,48.588,14,official_top_section_times,metric_indy_nxt_2024_6354_top_section_times,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_indy_nxt_2024_6354,event_indy_nxt_2024_5470,2024,Grand Prix of Alabama,Barber Motorsports Park,road,practice,Practice 1,PI to PO,pit_or_timing_line,12,21,0.45,03:14.1742,194.1742,4.502,0,official_top_section_times,metric_indy_nxt_2024_6354_top_section_times,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_indy_nxt_2024_6354,event_indy_nxt_2024_5470,2024,Grand Prix of Alabama,Barber Motorsports Park,road,practice,Practice 1,PO to SF,pit_or_timing_line,8,21,0.65,01:19.2383,79.2383,99.564,15,official_top_section_times,metric_indy_nxt_2024_6354_top_section_times,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_indy_nxt_2024_6354,event_indy_nxt_2024_5470,2024,Grand Prix of Alabama,Barber Motorsports Park,road,practice,Practice 1,SF to PI,pit_or_timing_line,8,21,0.65,01:15.0307,75.0307,101.867,14,official_top_section_times,metric_indy_nxt_2024_6354_top_section_times,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_indy_nxt_2024_6354,event_indy_nxt_2024_5470,2024,Grand Prix of Alabama,Barber Motorsports Park,road,practice,Practice 1,PO to I2,pit_or_timing_line,15,21,0.3,00:15.2544,15.2544,66.285,0,official_top_section_times,metric_indy_nxt_2024_6354_top_section_times,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_indy_nxt_2024_6354,event_indy_nxt_2024_5470,2024,Grand Prix of Alabama,Barber Motorsports Park,road,practice,Practice 1,I7 to PI,pit_or_timing_line,5,21,0.8,00:15.8491,15.8491,68.788,14,official_top_section_times,metric_indy_nxt_2024_6354_top_section_times,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
