sectionFamily,sessionType,trackName,observationRows,medianPercentile,meanPercentile,topQuartileShare,bottomQuartileShare,sourceHash
Turn 10,qualifying,Indianapolis Motor Speedway Road Course,52,0.5,0.4657,0.1154,0.1923,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
Turn 11,qualifying,Indianapolis Motor Speedway Road Course,58,0.5,0.5024,0.2069,0.1724,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
Turn 12/13,qualifying,Indianapolis Motor Speedway Road Course,52,0.8,0.634,0.5385,0.1538,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
Turn 14,qualifying,Indianapolis Motor Speedway Road Course,52,0.3636,0.3889,0.0385,0.2308,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
Turn 3,qualifying,Indianapolis Motor Speedway Road Course,52,0.3,0.3321,0.0769,0.3462,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
Turn 4/5/6 Backstretch,qualifying,Indianapolis Motor Speedway Road Course,52,0.7071,0.6501,0.4615,0.0769,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
Turn 7,qualifying,Indianapolis Motor Speedway Road Course,52,0.5727,0.5168,0.2308,0.2308,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
Turn 8/9,qualifying,Indianapolis Motor Speedway Road Course,50,0.5714,0.5113,0.12,0.08,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
BS to T3,practice,Iowa Speedway,77,0.5556,0.5518,0.2208,0.1429,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
SS1 to T2,practice,Iowa Speedway,77,0.5,0.5069,0.1818,0.1818,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
SS2 to T4,practice,Iowa Speedway,77,0.5,0.5103,0.1818,0.1299,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
T1 to SS1,practice,Iowa Speedway,77,0.4375,0.4671,0.2208,0.2987,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
