eventId,seasonYear,eventName,trackName,sessionId,sessionType,sessionName,bryceLapCount,comparisonRows,medianTrackSectionPercentile,topQuartileTrackSectionShare,bottomQuartileTrackSectionShare,bestSectionFamilies,weakestSectionFamilies,topSectionBryceRows,sourceState,sourceHash,caveat
event_indy_nxt_2024_5472,2024,Grand Prix at Road America,Road America,session_indy_nxt_2024_6402,practice,Practice 1,10,200,0.6283,0.37,0.125,I4A to I5:0.91 n=10; I13A to I14:0.89 n=10; I7 to I8:0.86 n=10; I1 to I2:0.83 n=10,I12 to I13:0.40 n=10; I8 to I9:0.44 n=10; I1B to I1:0.46 n=10; I5 to I6:0.47 n=10,44,official_section_results+official_top_section_times,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd,Historical Road America prep sessions only; future sessions need live/current data before claims update.
event_indy_nxt_2024_5472,2024,Grand Prix at Road America,Road America,session_indy_nxt_2024_6403,practice,Practice 2,8,160,0.7778,0.5188,0.0375,I12 to I13:0.95 n=8; I1 to I2:0.89 n=8; I5 to I6:0.87 n=8; I13A to I14:0.84 n=8,I4 to I4A:0.49 n=8; I4A to I5:0.62 n=8; I11B to I12:0.64 n=8; I1B to I1:0.68 n=8,44,official_section_results+official_top_section_times,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd,Historical Road America prep sessions only; future sessions need live/current data before claims update.
event_indy_nxt_2024_5472,2024,Grand Prix at Road America,Road America,session_indy_nxt_2024_6405,qualifying,Qualifications - Group 2,4,60,0.65,0.3167,0.1,,,44,official_section_results+official_top_section_times,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd,Historical Road America prep sessions only; future sessions need live/current data before claims update.
event_indy_nxt_2025_5495,2025,Grand Prix at Road America,Road America,session_indy_nxt_2025_6675,practice,Practice 1,14,260,0.5941,0.2808,0.1269,I3A to I4:0.83 n=13; I4 to I4A:0.80 n=13; I6 to I7:0.78 n=13; I14 to I15C:0.72 n=13,I13A to I14:0.33 n=13; I9 to I10:0.39 n=13; I8 to I9:0.43 n=13; I1 to I2:0.44 n=13,49,official_section_results+official_top_section_times,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd,Historical Road America prep sessions only; future sessions need live/current data before claims update.
event_indy_nxt_2025_5495,2025,Grand Prix at Road America,Road America,session_indy_nxt_2025_6676,practice,Practice 2,15,280,0.5714,0.2429,0.1786,I4 to I4A:0.85 n=14; I3A to I4:0.75 n=14; I14 to I15C:0.72 n=14; I11B to I12:0.69 n=14,I13 to I13A:0.31 n=14; I8 to I9:0.32 n=14; I13A to I14:0.36 n=14; I5 to I6:0.36 n=14,49,official_section_results+official_top_section_times,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd,Historical Road America prep sessions only; future sessions need live/current data before claims update.
event_indy_nxt_2025_5495,2025,Grand Prix at Road America,Road America,session_indy_nxt_2025_6678,qualifying,Qualifications - Group 2,6,117,0.4444,0.2991,0.3504,,,49,official_section_results+official_top_section_times,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd,Historical Road America prep sessions only; future sessions need live/current data before claims update.
event_indy_nxt_2026_5545,2026,Grand Prix at Road America Race 1,Road America,session_indy_nxt_2026_6869,practice,Practice,15,300,0.5217,0.12,0.12,I9 to I10:0.68 n=15; I2 to I3:0.65 n=15; I13A to I14:0.62 n=15; I4A to I5:0.62 n=15,I8 to I9:0.19 n=15; I3 to I3A:0.39 n=15; I15C to I15:0.41 n=15; I1B to I1:0.41 n=15,49,official_section_results+official_top_section_times,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd,Historical Road America prep sessions only; future sessions need live/current data before claims update.
event_indy_nxt_2026_5545,2026,Grand Prix at Road America Race 1,Road America,session_indy_nxt_2026_6871,qualifying,Qualifying - Race 1 Group 2,7,140,0.4545,0.1786,0.1714,,,91,official_section_results+official_top_section_times,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd,Historical Road America prep sessions only; future sessions need live/current data before claims update.
event_indy_nxt_2026_5537,2026,Grand Prix at Road America Race 2,Road America,session_indy_nxt_2026_6874,qualifying,Qualifying - Race 2 Group 2,7,140,0.4545,0.1786,0.1714,,,91,official_section_results+official_top_section_times,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd,Historical Road America prep sessions only; future sessions need live/current data before claims update.
