sessionId,restartIndex,restartLap,driverId,driverName,carNumber,isBryce,isTeammate,baselinePosition,endPosition,net,sourceHash
session_indy_nxt_2024_6315,1,26,driver_yuven_sundaramoorthy,Yuven Sundaramoorthy,22,false,false,20,20,0,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2024_6315,1,26,driver_jamie_chadwick,Jamie Chadwick,28,false,true,3,3,0,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2024_6315,1,26,driver_nolan_siegel,Nolan Siegel,39,false,false,2,2,0,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2024_6315,1,26,driver_jacob_abel,Jacob Abel,51,false,false,1,1,0,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2024_6315,1,26,driver_lindsay_brewer,Lindsay Brewer,76,false,false,18,18,0,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2024_6315,1,26,driver_salvador_de_alba,Salvador de Alba,2,false,false,6,13,-7,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2024_6315,1,26,driver_michael_d_orlando,Michael d'Orlando,3,false,false,7,14,-7,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2024_6315,1,26,driver_jack_william_miller,Jack William Miller,40,false,false,10,17,-7,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2024_6315,2,32,driver_louis_foster,Louis Foster,26,false,true,9,7,2,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2024_6315,2,32,driver_christian_bogle,Christian Bogle,7,false,false,11,9,2,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2024_6315,2,32,driver_salvador_de_alba,Salvador de Alba,2,false,false,12,11,1,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2024_6315,2,32,driver_myles_rowe,Myles Rowe,99,false,false,6,5,1,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2024_6315,2,32,driver_callum_hedge,Callum Hedge,17,false,false,4,4,0,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2024_6315,2,32,driver_jordan_missig,Jordan Missig,21,false,false,18,18,0,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2024_6315,2,32,driver_bryce_aron,Bryce Aron,27,true,false,14,14,0,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2024_6315,2,32,driver_jamie_chadwick,Jamie Chadwick,28,false,true,3,3,0,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2024_6315,2,32,driver_james_roe,James Roe,29,false,true,15,15,0,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
