sessionId,seasonYear,raceLabel,trackName,trackType,venueSlug,restartIndex,cautionNumbers,cautionReasons,totalLaps,baselineLap,restartLap,windowLaps,windowEndLap,fullWindow,truncated,truncateReason,fieldClassified,fieldNetMedian,fieldNetBest,bryceClassified,bryceBaselinePosition,bryceRestartPosition,bryceEndPosition,bryceNet,bryceRankInField,bryceFieldSizeRanked,sourceHash
session_indy_nxt_2024_6326,2024,Detroit Grand Prix,Streets of Detroit,street,streets_of_detroit,3,3,Spin: Car 7 in Turn 7,45,40,41,1,41,false,true,next_caution,18,0.0,0,false,,,,,,,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
session_indy_nxt_2024_6327,2024,Grand Prix of Monterey Race 2,WeatherTech Raceway Laguna Seca,road,weathertech_raceway_laguna_seca,1,1,Contact: Cars 17 and 39 in Turn 2,35,16,17,2,18,true,false,,20,0.0,3,true,5,5,5,0,5,20,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
session_indy_nxt_2025_6442,2025,Grand Prix of Monterey Race 1,WeatherTech Raceway Laguna Seca,road,weathertech_raceway_laguna_seca,1,1,"Off course Cars 2, 28, 27 and 48.",35,4,5,2,6,true,false,,17,0.0,1,true,9,9,9,0,4,17,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
session_indy_nxt_2025_6443,2025,Indianapolis Grand Prix Race 2,Indianapolis Motor Speedway Road Course,road,indianapolis_motor_speedway_road_course,1,3,Contact: Cars 11 and 40 in Turn 1,35,4,5,2,6,true,false,,21,0.0,2,true,17,17,17,0,7,21,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
session_indy_nxt_2025_6444,2025,Indianapolis Grand Prix Race 1,Indianapolis Motor Speedway Road Course,road,indianapolis_motor_speedway_road_course,1,1,Contact: Cars 10 and 39 in Turn 1,35,11,12,2,13,true,false,,20,0.0,1,true,16,16,16,0,5,20,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
session_indy_nxt_2025_6444,2025,Indianapolis Grand Prix Race 1,Indianapolis Motor Speedway Road Course,road,indianapolis_motor_speedway_road_course,2,2,Contact: Cars 18 and 29 in Turn 14,35,30,31,2,32,true,false,,17,0.0,1,true,12,12,12,0,3,17,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
session_indy_nxt_2025_6445,2025,Grand Prix of Alabama,Barber Motorsports Park,road,barber_motorsports_park,1,1,Off Course: Car 17 in Turn 8,35,3,4,2,5,true,false,,20,0.0,1,true,8,8,8,0,6,20,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
session_indy_nxt_2025_6445,2025,Grand Prix of Alabama,Barber Motorsports Park,road,barber_motorsports_park,2,2,Debris: Turn 5,35,12,13,2,14,true,false,,19,0.0,1,true,16,16,16,0,4,19,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
session_indy_nxt_2025_6446,2025,Grand Prix of St. Petersburg,Streets of St. Petersburg,street,streets_of_st_petersburg,1,1,"Contact: Car 10, 16 and 29 in Turn 1",44,1,2,2,3,true,false,,20,0.0,2,true,16,16,16,0,5,20,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
session_indy_nxt_2025_6446,2025,Grand Prix of St. Petersburg,Streets of St. Petersburg,street,streets_of_st_petersburg,2,2,Contact: Car 29 in Turn 10,44,13,14,2,15,true,false,,19,0.0,1,true,16,16,16,0,2,19,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
session_indy_nxt_2025_6446,2025,Grand Prix of St. Petersburg,Streets of St. Petersburg,street,streets_of_st_petersburg,3,3,Contact: Car 11 in Turn 11,44,24,25,2,26,true,false,,18,0.0,1,true,14,14,14,0,4,18,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
session_indy_nxt_2025_6447,2025,Music City Grand Prix,Nashville Superspeedway,oval,nashville_superspeedway,1,1,Contact: Car 17 in Turn 2,65,43,44,2,45,true,false,,17,0.0,2,true,6,6,6,0,7,17,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
session_indy_nxt_2025_6448,2025,INDY NXT by Firestone at the Milwaukee Mile,The Milwaukee Mile,oval,the_milwaukee_mile,1,1,Contact: Car 40 in Turn 2,90,52,53,2,54,true,false,,16,0.0,2,true,8,7,6,2,1,16,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
session_indy_nxt_2025_6449,2025,Grand Prix of Portland,Portland International Raceway,road,portland_international_raceway,1,1,Contact: Car 9 in Turn 1,35,3,4,2,5,true,false,,18,0.0,5,false,,,,,,,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
session_indy_nxt_2025_6450,2025,Grand Prix of Monterey Race 2,WeatherTech Raceway Laguna Seca,road,weathertech_raceway_laguna_seca,1,1,"Contact: Cars 9, 16, and 30 in Turn 3",35,5,6,2,7,true,false,,18,0.0,2,false,,,,,,,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
session_indy_nxt_2025_6450,2025,Grand Prix of Monterey Race 2,WeatherTech Raceway Laguna Seca,road,weathertech_raceway_laguna_seca,2,2,Contact: Car 30 in Turn 6,35,21,22,1,22,false,true,next_caution,17,0.0,2,false,,,,,,,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
session_indy_nxt_2025_6450,2025,Grand Prix of Monterey Race 2,WeatherTech Raceway Laguna Seca,road,weathertech_raceway_laguna_seca,3,3,"Contact: Cars 11, 16, 38, 39 and 48 in Turn 11",35,25,26,1,26,false,true,next_caution,16,0.0,1,false,,,,,,,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
session_indy_nxt_2025_6450,2025,Grand Prix of Monterey Race 2,WeatherTech Raceway Laguna Seca,road,weathertech_raceway_laguna_seca,4,4,Contact: Cars 26 and 28 in Turn 2.,35,29,30,2,31,true,false,,15,0.0,1,false,,,,,,,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
session_indy_nxt_2025_6451,2025,INDY NXT by Firestone at Iowa Speedway,Iowa Speedway,oval,iowa_speedway,1,1;2,Spin: Car 14 in Turn 4 · Spin: Car 24 in Turn 2,75,32,33,1,33,false,true,next_caution,19,0.0,1,true,10,10,10,0,2,19,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
session_indy_nxt_2025_6451,2025,INDY NXT by Firestone at Iowa Speedway,Iowa Speedway,oval,iowa_speedway,2,3,Spin: Cars 3 and 39 in Turn 4,75,36,37,2,38,true,false,,19,0.0,2,true,10,10,10,0,8,19,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
session_indy_nxt_2025_6452,2025,Grand Prix at Mid-Ohio,Mid-Ohio Sports Car Course,road,mid_ohio,1,1,Contact: Cars 2 and 3 in Turn 3,33,5,6,2,7,true,false,,17,0.0,1,true,11,11,11,0,2,17,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
session_indy_nxt_2025_6455,2025,Detroit Grand Prix,Streets of Detroit,street,streets_of_detroit,1,1,Contact: Mutiple Cars in Turn 4,45,2,3,2,4,true,false,,18,0.0,1,true,10,10,9,1,1,18,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
session_indy_nxt_2025_6455,2025,Detroit Grand Prix,Streets of Detroit,street,streets_of_detroit,2,2,Contact: Car 48 in Turn 2,45,43,44,2,45,true,false,,6,0.0,2,false,,,,,,,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
session_indy_nxt_2026_6749,2026,Detroit Grand Prix,Streets of Detroit,street,streets_of_detroit,1,1,Contact: Cars 14 and 26 in Turn 3,42,7,8,2,9,true,false,,24,0.0,3,true,8,8,8,0,5,24,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
session_indy_nxt_2026_6749,2026,Detroit Grand Prix,Streets of Detroit,street,streets_of_detroit,2,2,Debris,42,27,28,2,29,true,false,,23,0.0,2,true,6,6,6,0,5,23,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
session_indy_nxt_2026_6749,2026,Detroit Grand Prix,Streets of Detroit,street,streets_of_detroit,3,3,Contact: Car 10 in Turn 8,42,33,34,2,35,true,false,,22,0.0,1,true,6,6,6,0,5,22,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
session_indy_nxt_2026_6750,2026,Grand Prix of Alabama Race 1,Barber Motorsports Park,road,barber_motorsports_park,1,1,"Contact: Cars 17, 27 and 29 in Turn 6",35,3,4,2,5,true,false,,23,0.0,2,true,7,7,10,-3,23,23,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
session_indy_nxt_2026_6750,2026,Grand Prix of Alabama Race 1,Barber Motorsports Park,road,barber_motorsports_park,2,2,Contact: Cars 14 and 28 in Turn 16,35,29,30,2,31,true,false,,23,0.0,3,true,9,9,8,1,4,23,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
session_indy_nxt_2026_6751,2026,Grand Prix of St. Petersburg,Streets of St. Petersburg,street,streets_of_st_petersburg,1,1,Debris; Turn 4,42,2,3,2,4,true,false,,24,0.0,2,true,17,17,17,0,4,24,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
