archetype,races,avgFinish,avgGain,avgPaceIndex,avgChaosExposure,top10Rate,avgTeamDelta
baseline_execution,14,10.071428571428571,0.7142857142857143,0.5247598784243604,0.2908199764896322,0.7142857142857143,0.08928571428571429
recovery_drive,6,10.833333333333334,5.833333333333333,0.3839504957496948,0.46857861092992675,0.6666666666666666,-1.986111111111111
incident_or_reliability_limited,5,20.0,-10.4,0.25833333333333336,0.4325248521509171,0.0,6.6
podium_top5_conversion,4,3.75,2.25,0.64547052373581,0.22982142857142857,1.0,-3.375
team_context_outperformed_teammates,4,14.25,0.25,0.38360767283822206,0.2935606060606061,0.0,-2.625
conversion_loss,3,17.666666666666668,-8.333333333333334,0.440132638359183,0.28713036961148997,0.0,5.666666666666667
hidden_pace_bad_result,2,20.0,-7.0,0.7836580086580087,0.4527342721238168,0.0,7.125
