cohort,races,avgStart,avgFinish,avgGain,avgPaceIndex,avgChaosExposure,avgTeamDelta,issueOrReliabilityLimitedRows,ovalRows,roadRows,streetRows
best_8_by_finish,8,7.875,5.0,2.875,0.6559143189938679,0.2854394888076851,-3.90625,0,4,4,0
worst_8_by_finish,8,10.875,20.25,-9.375,0.46084028692724344,0.4436854892295861,6.875,5,1,5,2
