sessionId,raceLabel,sectionComparisonRows,medianSectionPercentile,topQuartileShare,bottomQuartileShare,bestSectionFamilies,weakestSectionFamilies,sourceState,caveat
session_indy_nxt_2025_6443,2025 Indianapolis Grand Prix Race 2 R2,455,0.3157894736842105,0.16263736263736264,0.4153846153846154,FS - PO 2:0.59; Turn 12/13:0.55; Backstretch:0.51; FS - PO:0.49,Turn 3:0.23; Turn 14:0.27; Turn 8/9:0.28; Turn 11:0.30,official_section_results,per-lap section percentile compares source-visible rows only; low-denominator comparisons suppressed
session_indy_nxt_2025_6455,2025 Detroit Grand Prix,792,0.3125,0.10606060606060606,0.4583333333333333,PI to PO:0.88; Alt S/F to PI:0.83; Back Str 2:0.58; PO to SF:0.53,I12 to I13:0.22; I2 to I3:0.23; I11 to 12:0.23; I9 to I10:0.26,official_section_results,per-lap section percentile compares source-visible rows only; low-denominator comparisons suppressed
session_indy_nxt_2025_6454,2025 INDY NXT by Firestone at World Wide Technology Raceway,592,0.3431372549019608,0.0625,0.3581081081081081,Turn 3:0.42; Turn 1:0.41; Turn 4:0.37; Turn 2:0.37,FS - PI:0.28; BS - T2:0.35; FS - PO:0.35; BS - T3:0.36,official_section_results,per-lap section percentile compares source-visible rows only; low-denominator comparisons suppressed
session_indy_nxt_2025_6453,2025 Grand Prix at Road America,441,0.4444444444444444,0.15873015873015872,0.23129251700680273,I14 to I15C:0.62; I4 to I4A:0.59; I3A to I4:0.59; I15 to SF:0.59,I13 to I13A:0.19; I3 to I3A:0.26; I8 to I9:0.27; I10 to I11:0.36,official_section_results,per-lap section percentile compares source-visible rows only; low-denominator comparisons suppressed
session_indy_nxt_2025_6452,2025 Grand Prix at Mid-Ohio,561,0.375,0.21568627450980393,0.36541889483065954,PO to Alt:0.88; Turn 12:0.71; Turn 2:0.71; Turn 5:0.63,Alt S/F to PI:0.06; PI to PO:0.12; Turn 1A:0.16; Turn 1:0.22,official_section_results,per-lap section percentile compares source-visible rows only; low-denominator comparisons suppressed
session_indy_nxt_2025_6451,2025 INDY NXT by Firestone at Iowa Speedway,594,0.4444444444444444,0.1414141414141414,0.2828282828282828,BS to T3:0.58; T2 to BS:0.51; SS1 to T2:0.50; T3 to SS2:0.49,SS2 to T4:0.30; T4 to SF:0.31; SF to T1:0.35; T1 to SS1:0.49,official_section_results,per-lap section percentile compares source-visible rows only; low-denominator comparisons suppressed
session_indy_nxt_2025_6442,2025 Grand Prix of Monterey Race 1 R1,560,0.4494949494949495,0.18392857142857144,0.2517857142857143,Turn 1 Entry:0.71; Turn 1 Exit:0.58; FS - PI:0.58; Turn 4A:0.55,Turn 6:0.28; Corkscrew:0.32; Turn 9:0.36; Turn 7:0.38,official_section_results,per-lap section percentile compares source-visible rows only; low-denominator comparisons suppressed
session_indy_nxt_2025_6450,2025 Grand Prix of Monterey Race 2 R2,7,0.0,0.14285714285714285,0.5714285714285714,FS - PI:0.89; Turn 1 Entry:0.39; Turn 1 Exit:0.33; Turn 2:0.00,Turn 2:0.00; Turn 3:0.00; Turn 4:0.00; Turn 4A:0.00,official_section_results,per-lap section percentile compares source-visible rows only; low-denominator comparisons suppressed
session_indy_nxt_2025_6449,2025 Grand Prix of Portland,4,0.6904761904761905,0.25,0.25,FS-PI:0.89; Turn 1:0.71; Turn 12:0.67; FS-PO:0.17,FS-PO:0.17; Turn 12:0.67; Turn 1:0.71; FS-PI:0.89,official_section_results,per-lap section percentile compares source-visible rows only; low-denominator comparisons suppressed
session_indy_nxt_2025_6448,2025 INDY NXT by Firestone at the Milwaukee Mile,810,0.6153846153846154,0.345679012345679,0.13950617283950617,SF to T1:0.80; T3 to SS2:0.76; FS to SF:0.69; T1 to SS1:0.61,T2 to BS:0.44; SS1 to T2:0.46; BS to T3:0.52; T4 to FS:0.54,official_section_results,per-lap section percentile compares source-visible rows only; low-denominator comparisons suppressed
session_indy_nxt_2025_6447,2025 Music City Grand Prix,520,0.6,0.37115384615384617,0.1673076923076923,BackStretch Exit:0.75; Turn 1 Entry:0.68; BackStretch Entry:0.65; Turn 2 Entry:0.60,Turn 1 Exit:0.46; Turn 3:0.49; Turn 4 Entry:0.54; Turn 4 Exit:0.57,official_section_results,per-lap section percentile compares source-visible rows only; low-denominator comparisons suppressed
session_indy_nxt_2026_6751,2026 Grand Prix of St. Petersburg,462,0.3557312252964427,0.14285714285714285,0.37012987012987014,FS-PO:0.52; FS-PI:0.51; Turn 1:0.49; Turns 13/14:0.46,Turn 4:0.25; Turn 10:0.27; Turns 5-8:0.31; Turns 11/12:0.37,official_section_results,per-lap section percentile compares source-visible rows only; low-denominator comparisons suppressed
session_indy_nxt_2026_6753,2026 Grand Prix of Arlington,377,0.23809523809523814,0.14323607427055704,0.506631299734748,PO to SF:0.96; PO to I13A:0.70; Turn 1:0.51; BS 2:0.49,Turn 9:0.10; Turns 13/14:0.22; Turns 8/9:0.24; Turn 13:0.26,official_section_results,per-lap section percentile compares source-visible rows only; low-denominator comparisons suppressed
session_indy_nxt_2026_6750,2026 Grand Prix of Alabama Race 1 R1,383,0.5909090909090908,0.29765013054830286,0.1227154046997389,Turn 10:0.79; Turn 4:0.67; FS-PO:0.67; Turn 7:0.66,Turns 8-9:0.36; Turns 12-13:0.40; Turn 11:0.41; Turn 17:0.42,official_section_results,per-lap section percentile compares source-visible rows only; low-denominator comparisons suppressed
session_indy_nxt_2026_6752,2026 Grand Prix of Alabama Race 2 R2,330,0.6818181818181819,0.403030303030303,0.07272727272727272,Turns 1-3:0.89; Turns 14-16:0.86; Turn 10:0.80; Turns 5-6:0.78,Turn 17:0.41; Turn 11:0.47; Turns 12-13:0.47; FS-PO:0.57,official_section_results,per-lap section percentile compares source-visible rows only; low-denominator comparisons suppressed
session_indy_nxt_2026_6756,2026 Indianapolis Grand Prix Race 1 R1,363,0.5217391304347826,0.20110192837465565,0.16804407713498623,PO to Alt:0.86; PO to SF:0.71; FS - PO 2:0.65; Turn 14:0.63,SF to PI:0.19; Turn 1/2:0.33; Turn 12/13:0.41; Alt S/F to PI:0.43,official_section_results,per-lap section percentile compares source-visible rows only; low-denominator comparisons suppressed
session_indy_nxt_2026_6765,2026 Indianapolis Grand Prix Race 2 R2,389,0.4782608695652174,0.32904884318766064,0.2699228791773779,Turn 4/5/6:0.76; Turn 12/13:0.70; Turn 7:0.59; FS - PI:0.56,Turn 8/9:0.34; Turn 14:0.42; Backstretch:0.42; FS - PO 2:0.44,official_section_results,per-lap section percentile compares source-visible rows only; low-denominator comparisons suppressed
