driverId,driverName,nationality,hometown,seriesIds,seasonYears,teamCount,carCount,eventCount,sessionCount,qualifyingRows,resultRows,lapRows,bestObservedFinish,medianObservedFinish,sharedRaceSessionWithBryceCount,sameTeamAsBryceEventCount,cohortLabel,provenanceRefCount,sourceState,sourceHash
driver_nikita_johnson,Nikita Johnson,United States,,series_froc;series_indy_nxt,2024;2025;2026,2,3,12,44,20,44,405,1,6.0,11,1,teammate_overlap,44,canonical_driver_dimension_with_observed_cohort_context,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
driver_noel_leon,Noel Leon,Mexico,,series_euroformula_open,2023,1,1,7,28,7,21,0,1,2.0,18,6,teammate_overlap,28,canonical_driver_dimension_with_observed_cohort_context,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
driver_nolan_allaer,Nolan Allaer,,,series_indy_nxt,2024;2025,1,3,23,96,40,96,859,4,14.0,23,1,teammate_overlap,96,canonical_driver_dimension_with_observed_cohort_context,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
driver_nolan_siegel,Nolan Siegel,,,series_indy_nxt,2024,1,1,6,23,10,23,191,1,3.0,5,0,shared_race_field,23,canonical_driver_dimension_with_observed_cohort_context,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
driver_oliver_bearman,Oliver Bearman,,,series_gb3,2021,1,1,2,11,4,11,0,1,2.0,6,0,shared_race_field,11,canonical_driver_dimension_with_observed_cohort_context,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
driver_oliver_jarvis,Oliver Jarvis,GBR,"Newmarket, United Kingdom",series_imsa_weathertech,2025,1,1,1,1,0,1,46,54,54.0,1,0,shared_race_field,2,canonical_driver_dimension_with_observed_cohort_context,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
driver_oliver_white,Oliver WHITE,,,series_formula_ford,2020,0,2,3,10,0,10,0,1,3.0,6,0,shared_race_field,10,canonical_driver_dimension_with_observed_cohort_context,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
driver_ollie_millroy,Ollie Millroy,GBR,"Reading, United Kingdom",series_imsa_weathertech,2025,1,1,1,1,0,1,91,49,49.0,1,0,shared_race_field,2,canonical_driver_dimension_with_observed_cohort_context,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
driver_onofrio_triarsi,Onofrio Triarsi,United States,"Orlando, FL",series_imsa_weathertech,2025,1,1,1,1,0,1,154,45,45.0,1,0,shared_race_field,2,canonical_driver_dimension_with_observed_cohort_context,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
driver_orey_fidani,Orey Fidani,CAN,"Toronto, ON",series_imsa_weathertech,2025,1,1,1,1,0,1,152,25,25.0,1,0,shared_race_field,2,canonical_driver_dimension_with_observed_cohort_context,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
driver_pj_hyett,PJ Hyett,United States,"St Charles, IL",series_imsa_weathertech,2025,1,1,1,1,0,1,152,12,12.0,1,0,shared_race_field,2,canonical_driver_dimension_with_observed_cohort_context,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
driver_paolo_brajnik,Paolo Brajnik,Serbia,,series_euroformula_open,2023,1,1,4,13,4,9,0,8,9.0,9,0,shared_race_field,13,canonical_driver_dimension_with_observed_cohort_context,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
driver_parker_kligerman,Parker Kligerman,United States,"Westport, CT",series_imsa_weathertech,2025,1,1,1,1,0,1,158,42,42.0,1,0,shared_race_field,2,canonical_driver_dimension_with_observed_cohort_context,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
driver_parker_thompson,Parker Thompson,CAN,"Red Deer, AB",series_imsa_weathertech,2025,1,1,1,1,0,1,174,44,44.0,1,0,shared_race_field,2,canonical_driver_dimension_with_observed_cohort_context,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
