sessionId,seasonYear,raceLabel,trackName,trackType,venueSlug,cautionNumber,startLap,endLap,durationLaps,totalRaceLaps,lapFraction,third,restartLap,ranToFlag,category,reason,sourceHash
session_indy_nxt_2024_6321,2024,Grand Prix of Portland,Portland International Raceway,road,portland_international_raceway,1,8,9,2,35,0.2286,opening,10,false,Contact,Contact: Cars 29 and 76 in Turn 1,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2024_6322,2024,INDY NXT By Firestone at The Milwaukee Mile,The Milwaukee Mile,oval,the_milwaukee_mile,1,30,32,3,90,0.3333,opening,33,false,Spin,Spin: Car 99 in Turn 2,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2024_6323,2024,Music City Grand Prix,Nashville Superspeedway,oval,nashville_superspeedway,1,52,57,6,65,0.8,final,58,false,Contact,Contact: Cars 28 and 40 in Turn 2,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2025_6446,2025,Grand Prix of St. Petersburg,Streets of St. Petersburg,street,streets_of_st_petersburg,1,1,1,1,44,0.0227,opening,2,false,Contact,"Contact: Car 10, 16 and 29 in Turn 1",61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2025_6446,2025,Grand Prix of St. Petersburg,Streets of St. Petersburg,street,streets_of_st_petersburg,2,10,13,4,44,0.2273,opening,14,false,Contact,Contact: Car 29 in Turn 10,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2025_6446,2025,Grand Prix of St. Petersburg,Streets of St. Petersburg,street,streets_of_st_petersburg,3,22,24,3,44,0.5,middle,25,false,Contact,Contact: Car 11 in Turn 11,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2025_6446,2025,Grand Prix of St. Petersburg,Streets of St. Petersburg,street,streets_of_st_petersburg,4,42,44,3,44,0.9545,final,,true,Contact,Contact: Car 40 in 9,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2025_6445,2025,Grand Prix of Alabama,Barber Motorsports Park,road,barber_motorsports_park,1,1,3,3,35,0.0286,opening,4,false,Off course,Off Course: Car 17 in Turn 8,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2025_6445,2025,Grand Prix of Alabama,Barber Motorsports Park,road,barber_motorsports_park,2,11,12,2,35,0.3143,opening,13,false,Debris,Debris: Turn 5,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2025_6443,2025,Indianapolis Grand Prix Race 2,Indianapolis Motor Speedway Road Course,road,indianapolis_motor_speedway_road_course,3,3,4,2,35,0.0857,opening,5,false,Contact,Contact: Cars 11 and 40 in Turn 1,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2025_6444,2025,Indianapolis Grand Prix Race 1,Indianapolis Motor Speedway Road Course,road,indianapolis_motor_speedway_road_course,1,10,11,2,35,0.2857,opening,12,false,Contact,Contact: Cars 10 and 39 in Turn 1,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2025_6444,2025,Indianapolis Grand Prix Race 1,Indianapolis Motor Speedway Road Course,road,indianapolis_motor_speedway_road_course,2,29,30,2,35,0.8286,final,31,false,Contact,Contact: Cars 18 and 29 in Turn 14,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2025_6455,2025,Detroit Grand Prix,Streets of Detroit,street,streets_of_detroit,1,1,2,2,45,0.0222,opening,3,false,Contact,Contact: Mutiple Cars in Turn 4,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2025_6455,2025,Detroit Grand Prix,Streets of Detroit,street,streets_of_detroit,2,41,43,3,45,0.9111,final,44,false,Contact,Contact: Car 48 in Turn 2,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2025_6452,2025,Grand Prix at Mid-Ohio,Mid-Ohio Sports Car Course,road,mid_ohio,1,4,5,2,33,0.1212,opening,6,false,Contact,Contact: Cars 2 and 3 in Turn 3,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2025_6451,2025,INDY NXT by Firestone at Iowa Speedway,Iowa Speedway,oval,iowa_speedway,1,26,28,3,75,0.3467,middle,29,false,Spin,Spin: Car 14 in Turn 4,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2025_6451,2025,INDY NXT by Firestone at Iowa Speedway,Iowa Speedway,oval,iowa_speedway,2,29,32,4,75,0.3867,middle,33,false,Spin,Spin: Car 24 in Turn 2,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2025_6451,2025,INDY NXT by Firestone at Iowa Speedway,Iowa Speedway,oval,iowa_speedway,3,34,36,3,75,0.4533,middle,37,false,Spin,Spin: Cars 3 and 39 in Turn 4,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2025_6442,2025,Grand Prix of Monterey Race 1,WeatherTech Raceway Laguna Seca,road,weathertech_raceway_laguna_seca,1,1,4,4,35,0.0286,opening,5,false,Off course,"Off course Cars 2, 28, 27 and 48.",61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2025_6450,2025,Grand Prix of Monterey Race 2,WeatherTech Raceway Laguna Seca,road,weathertech_raceway_laguna_seca,1,1,5,5,35,0.0286,opening,6,false,Contact,"Contact: Cars 9, 16, and 30 in Turn 3",61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2025_6450,2025,Grand Prix of Monterey Race 2,WeatherTech Raceway Laguna Seca,road,weathertech_raceway_laguna_seca,2,18,21,4,35,0.5143,middle,22,false,Contact,Contact: Car 30 in Turn 6,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2025_6450,2025,Grand Prix of Monterey Race 2,WeatherTech Raceway Laguna Seca,road,weathertech_raceway_laguna_seca,3,23,25,3,35,0.6571,middle,26,false,Contact,"Contact: Cars 11, 16, 38, 39 and 48 in Turn 11",61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2025_6450,2025,Grand Prix of Monterey Race 2,WeatherTech Raceway Laguna Seca,road,weathertech_raceway_laguna_seca,4,27,29,3,35,0.7714,final,30,false,Contact,Contact: Cars 26 and 28 in Turn 2.,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2025_6449,2025,Grand Prix of Portland,Portland International Raceway,road,portland_international_raceway,1,1,3,3,35,0.0286,opening,4,false,Contact,Contact: Car 9 in Turn 1,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2025_6448,2025,INDY NXT by Firestone at the Milwaukee Mile,The Milwaukee Mile,oval,the_milwaukee_mile,1,47,52,6,90,0.5222,middle,53,false,Contact,Contact: Car 40 in Turn 2,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2025_6447,2025,Music City Grand Prix,Nashville Superspeedway,oval,nashville_superspeedway,1,32,43,12,65,0.4923,middle,44,false,Contact,Contact: Car 17 in Turn 2,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2026_6751,2026,Grand Prix of St. Petersburg,Streets of St. Petersburg,street,streets_of_st_petersburg,1,1,2,2,42,0.0238,opening,3,false,Debris,Debris; Turn 4,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2026_6751,2026,Grand Prix of St. Petersburg,Streets of St. Petersburg,street,streets_of_st_petersburg,2,6,8,3,42,0.1429,opening,9,false,Contact,Contact: Car 11 in Turn 8,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2026_6751,2026,Grand Prix of St. Petersburg,Streets of St. Petersburg,street,streets_of_st_petersburg,3,17,19,3,42,0.4048,middle,20,false,Contact,Contact: Car 4 in Turn 9,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2026_6751,2026,Grand Prix of St. Petersburg,Streets of St. Petersburg,street,streets_of_st_petersburg,4,21,24,4,42,0.5,middle,25,false,Contact,Contact: Car 8 and 10 in Turn 2,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2026_6753,2026,Grand Prix of Arlington,Streets of Arlington,street,streets_of_arlington,1,1,4,4,15,0.0667,opening,5,false,Contact,Contact: Car 57 on Back Stretech,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2026_6753,2026,Grand Prix of Arlington,Streets of Arlington,street,streets_of_arlington,2,11,11,1,15,0.7333,final,12,false,Contact,Contact: Car 29 in Turn 14,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2026_6750,2026,Grand Prix of Alabama Race 1,Barber Motorsports Park,road,barber_motorsports_park,1,1,3,3,35,0.0286,opening,4,false,Contact,"Contact: Cars 17, 27 and 29 in Turn 6",61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2026_6750,2026,Grand Prix of Alabama Race 1,Barber Motorsports Park,road,barber_motorsports_park,2,28,29,2,35,0.8,final,30,false,Contact,Contact: Cars 14 and 28 in Turn 16,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
