weatherId,seriesId,seriesName,seasonYear,eventId,eventName,sessionId,sessionType,sessionName,trackId,trackName,observedAt,wetDry,trackCondition,ambientConditionRaw,ambientTempC,trackTempC,precipitationMm,windSpeedKph,source,weatherSourceType,confidence,timeConfidence,locationConfidence,timeWindowStart,timeWindowEnd,timeWindowReason,joinNotes,provenanceRefCount,sourceState,sourceHash
weather_formula_ford_2020_festival_semi_final_2_race_15_official_conditions,series_formula_ford,Formula Ford,2020,event_formula_ford_2020_formula_ford_festival,BRSCC Formula Ford Festival 2020,session_formula_ford_2020_festival_semi_final_2_race_15,race,SEMI FINAL 2 (RACE 15),track_brands_hatch_indy,Brands Hatch Indy,2020-10-25T12:47:00,drying,drying,Bright,,,,,TSL official classification weather/track line,series_report,official,high,track_exact,2020-10-25T12:47:00,2020-10-25T12:47:00,exact_session_report,Official TSL classification weather/track condition. Coordinates identify the circuit and should be hardened by the track metadata lane.,1,official_weather_context,5d66d442aa62ff829f41a78a998f82218eacb1e92cf10834dc3b4316d03ba7cb
weather_formula_ford_2020_national_brands_hatch_qualifying_race_2_official_conditions,series_formula_ford,Formula Ford,2020,event_formula_ford_2020_national_brands_hatch,BRSCC National FF1600 2020 - Brands Hatch,session_formula_ford_2020_national_brands_hatch_qualifying_race_2,qualifying,QUALIFYING - RACE 2,track_brands_hatch_indy,Brands Hatch Indy,2020-09-26T09:21:00,dry,dry,Sunny,,,,,TSL official classification weather/track line,series_report,official,high,track_exact,2020-09-26T09:21:00,2020-09-26T09:21:00,exact_session_report,Official TSL classification weather/track condition. Coordinates identify the circuit and should be hardened by the track metadata lane.,1,official_weather_context,5d66d442aa62ff829f41a78a998f82218eacb1e92cf10834dc3b4316d03ba7cb
weather_formula_ford_2020_national_brands_hatch_race_11_official_conditions,series_formula_ford,Formula Ford,2020,event_formula_ford_2020_national_brands_hatch,BRSCC National FF1600 2020 - Brands Hatch,session_formula_ford_2020_national_brands_hatch_race_11,race,RACE 11,track_brands_hatch_indy,Brands Hatch Indy,2020-09-27T11:45:00,dry,dry,Cloudy,,,,,TSL official classification weather/track line,series_report,official,high,track_exact,2020-09-27T11:45:00,2020-09-27T11:45:00,exact_session_report,Official TSL classification weather/track condition. Coordinates identify the circuit and should be hardened by the track metadata lane.,1,official_weather_context,5d66d442aa62ff829f41a78a998f82218eacb1e92cf10834dc3b4316d03ba7cb
weather_formula_ford_2020_national_brands_hatch_race_18_official_conditions,series_formula_ford,Formula Ford,2020,event_formula_ford_2020_national_brands_hatch,BRSCC National FF1600 2020 - Brands Hatch,session_formula_ford_2020_national_brands_hatch_race_18,race,RACE 18,track_brands_hatch_indy,Brands Hatch Indy,2020-09-27T16:45:00,dry,dry,Cloudy,,,,,TSL official classification weather/track line,series_report,official,high,track_exact,2020-09-27T16:45:00,2020-09-27T16:45:00,exact_session_report,Official TSL classification weather/track condition. Coordinates identify the circuit and should be hardened by the track metadata lane.,1,official_weather_context,5d66d442aa62ff829f41a78a998f82218eacb1e92cf10834dc3b4316d03ba7cb
weather_formula_ford_2020_national_brands_hatch_race_2_official_conditions,series_formula_ford,Formula Ford,2020,event_formula_ford_2020_national_brands_hatch,BRSCC National FF1600 2020 - Brands Hatch,session_formula_ford_2020_national_brands_hatch_race_2,race,RACE 2,track_brands_hatch_indy,Brands Hatch Indy,2020-09-26T14:03:00,dry,dry,Cloudy,,,,,TSL official classification weather/track line,series_report,official,high,track_exact,2020-09-26T14:03:00,2020-09-26T14:03:00,exact_session_report,Official TSL classification weather/track condition. Coordinates identify the circuit and should be hardened by the track metadata lane.,1,official_weather_context,5d66d442aa62ff829f41a78a998f82218eacb1e92cf10834dc3b4316d03ba7cb
weather_formula_ford_2020_national_oulton_park_qualifying_race_1_official_conditions,series_formula_ford,Formula Ford,2020,event_formula_ford_2020_national_oulton_park,BRSCC National FF1600 2020 - Oulton Park,session_formula_ford_2020_national_oulton_park_qualifying_race_1,qualifying,QUALIFYING - RACE 1,track_oulton_park_international,Oulton Park International,2020-07-18T08:54:00,dry,dry,Cloudy,,,,,TSL official classification weather/track line,series_report,official,high,track_exact,2020-07-18T08:54:00,2020-07-18T08:54:00,exact_session_report,Official TSL classification weather/track condition. Coordinates identify the circuit and should be hardened by the track metadata lane.,1,official_weather_context,5d66d442aa62ff829f41a78a998f82218eacb1e92cf10834dc3b4316d03ba7cb
weather_formula_ford_2020_national_oulton_park_race_1_official_conditions,series_formula_ford,Formula Ford,2020,event_formula_ford_2020_national_oulton_park,BRSCC National FF1600 2020 - Oulton Park,session_formula_ford_2020_national_oulton_park_race_1,race,RACE 1,track_oulton_park_international,Oulton Park International,2020-07-18T11:35:00,wet,wet,Rain,,,,,TSL official classification weather/track line,series_report,official,high,track_exact,2020-07-18T11:35:00,2020-07-18T11:35:00,exact_session_report,Official TSL classification weather/track condition. Coordinates identify the circuit and should be hardened by the track metadata lane.,1,official_weather_context,5d66d442aa62ff829f41a78a998f82218eacb1e92cf10834dc3b4316d03ba7cb
weather_formula_ford_2020_national_oulton_park_race_8_official_conditions,series_formula_ford,Formula Ford,2020,event_formula_ford_2020_national_oulton_park,BRSCC National FF1600 2020 - Oulton Park,session_formula_ford_2020_national_oulton_park_race_8,race,RACE 8,track_oulton_park_international,Oulton Park International,2020-07-18T16:08:00,wet,wet,Rain,,,,,TSL official classification weather/track line,series_report,official,high,track_exact,2020-07-18T16:08:00,2020-07-18T16:08:00,exact_session_report,Official TSL classification weather/track condition. Coordinates identify the circuit and should be hardened by the track metadata lane.,1,official_weather_context,5d66d442aa62ff829f41a78a998f82218eacb1e92cf10834dc3b4316d03ba7cb
weather_formula_ford_2020_national_silverstone_qualifying_race_3_official_conditions,series_formula_ford,Formula Ford,2020,event_formula_ford_2020_national_silverstone,BRSCC National FF1600 2020 - Silverstone International,session_formula_ford_2020_national_silverstone_qualifying_race_3,qualifying,QUALIFYING - RACE 3,track_silverstone_international,Silverstone International,2020-10-10T09:56:00,unknown,unknown,,,,,,TSL official classification weather/track line,series_report,official,high,track_exact,2020-10-10T09:56:00,2020-10-10T09:56:00,exact_session_report,Official TSL classification weather/track condition. Coordinates identify the circuit and should be hardened by the track metadata lane.,1,official_weather_context,5d66d442aa62ff829f41a78a998f82218eacb1e92cf10834dc3b4316d03ba7cb
weather_formula_ford_2020_national_silverstone_race_3_official_conditions,series_formula_ford,Formula Ford,2020,event_formula_ford_2020_national_silverstone,BRSCC National FF1600 2020 - Silverstone International,session_formula_ford_2020_national_silverstone_race_3,race,RACE 3,track_silverstone_international,Silverstone International,2020-10-10T14:01:00,wet,wet,Cloudy,,,,,TSL official classification weather/track line,series_report,official,high,track_exact,2020-10-10T14:01:00,2020-10-10T14:01:00,exact_session_report,Official TSL classification weather/track condition. Coordinates identify the circuit and should be hardened by the track metadata lane.,1,official_weather_context,5d66d442aa62ff829f41a78a998f82218eacb1e92cf10834dc3b4316d03ba7cb
