seriesId,seriesName,seasonYear,eventName,sessionId,raceLabel,trackName,trackType,teamName,startPosition,finishPosition,positionGain,finishPercentile,points,status,sourceState
series_euroformula_open,Euroformula Open,2023,Euroformula Open 2023 Round 1 - Portimao,session_euroformula_2023_01-portimao-race-1,2023 Euroformula Open 2023 Round 1 - Portimao,Autodromo Internacional do Algarve,road,Team Motopark,5.0,5.0,0.0,0.6,,running,official_or_source_backed_result
series_euroformula_open,Euroformula Open,2023,Euroformula Open 2023 Round 1 - Portimao,session_euroformula_2023_01-portimao-race-2,2023 Euroformula Open 2023 Round 1 - Portimao,Autodromo Internacional do Algarve,road,Team Motopark,2.0,4.0,-2.0,0.6667,,running,official_or_source_backed_result
series_euroformula_open,Euroformula Open,2023,Euroformula Open 2023 Round 1 - Portimao,session_euroformula_2023_01-portimao-race-3,2023 Euroformula Open 2023 Round 1 - Portimao,Autodromo Internacional do Algarve,road,Team Motopark,2.0,4.0,-2.0,0.7,,running,official_or_source_backed_result
series_euroformula_open,Euroformula Open,2023,Euroformula Open 2023 Round 2 - Spa-Francorchamps,session_euroformula_2023_02-spa_francorchamps-race-1,2023 Euroformula Open 2023 Round 2 - Spa-Francorchamps,Circuit de Spa-Francorchamps,road,Team Motopark,5.0,3.0,2.0,0.8,,running,official_or_source_backed_result
series_euroformula_open,Euroformula Open,2023,Euroformula Open 2023 Round 2 - Spa-Francorchamps,session_euroformula_2023_02-spa_francorchamps-race-2,2023 Euroformula Open 2023 Round 2 - Spa-Francorchamps,Circuit de Spa-Francorchamps,road,Team Motopark,4.0,1.0,3.0,1.0,,running,official_or_source_backed_result
series_euroformula_open,Euroformula Open,2023,Euroformula Open 2023 Round 2 - Spa-Francorchamps,session_euroformula_2023_02-spa_francorchamps-race-3,2023 Euroformula Open 2023 Round 2 - Spa-Francorchamps,Circuit de Spa-Francorchamps,road,Team Motopark,2.0,5.0,-3.0,0.6,,running,official_or_source_backed_result
series_euroformula_open,Euroformula Open,2023,Euroformula Open 2023 Round 3 - Hungaroring,session_euroformula_2023_03-hungaroring-race-1,2023 Euroformula Open 2023 Round 3 - Hungaroring,Hungaroring,road,Team Motopark,7.0,6.0,1.0,0.5,,running,official_or_source_backed_result
series_euroformula_open,Euroformula Open,2023,Euroformula Open 2023 Round 3 - Hungaroring,session_euroformula_2023_03-hungaroring-race-2,2023 Euroformula Open 2023 Round 3 - Hungaroring,Hungaroring,road,Team Motopark,1.0,1.0,0.0,1.0,,running,official_or_source_backed_result
series_euroformula_open,Euroformula Open,2023,Euroformula Open 2023 Round 3 - Hungaroring,session_euroformula_2023_03-hungaroring-race-3,2023 Euroformula Open 2023 Round 3 - Hungaroring,Hungaroring,road,Team Motopark,7.0,4.0,3.0,0.6667,,running,official_or_source_backed_result
series_euroformula_open,Euroformula Open,2023,Euroformula Open 2023 Round 4 - Paul Ricard,session_euroformula_2023_04-paul_ricard-race-1,2023 Euroformula Open 2023 Round 4 - Paul Ricard,Circuit Paul Ricard,road,Team Motopark,3.0,3.0,0.0,0.7143,,running,official_or_source_backed_result
