driverId,driverName,racesTogether,bryceAhead,bryceBehind,headToHeadWinRate,avgFinishDeltaVsRival,avgStartDeltaVsRival,sameTeamRaces,notableRaces
driver_dennis_hauger,Dennis Hauger,14,0,14,0.0,8.928571428571429,10.285714285714286,0,2025 Grand Prix of St. Petersburg (+12) | 2025 Grand Prix of Alabama (+14) | 2025 Indianapolis Grand Prix Race 2 R2 (+14) | 2025 Detroit Grand Prix (+9)
driver_nicholas_monteiro,Nicholas Monteiro,13,9,4,0.6923076923076923,-3.5384615384615383,-5.461538461538462,0,2026 Grand Prix of Alabama Race 2 R2 (-12) | 2026 Detroit Grand Prix (-9) | 2026 INDY NXT by Firestone at World Wide Technology Raceway (+8) | 2026 Grand Prix at Road America Race 2 R2 (-14)
driver_reece_gold,Reece Gold,13,6,7,0.46153846153846156,1.3846153846153846,0.9230769230769231,0,2024 Grand Prix of St. Petersburg (+14) | 2024 Indianapolis Grand Prix Race 1 R1 (+8) | 2024 Indianapolis Grand Prix Race 2 R2 (+8) | 2024 Detroit Grand Prix (+14)
driver_carson_etter,Carson Etter,12,9,3,0.75,-4.333333333333333,-8.666666666666666,12,2026 Grand Prix of Alabama Race 1 R1 (-13) | 2026 Grand Prix of Alabama Race 2 R2 (-14) | 2026 Detroit Grand Prix (-11) | 2026 Grand Prix at Mid-Ohio Race 2 R2 (-9)
driver_alexander_koreiba,Alexander Koreiba,12,10,2,0.8333333333333334,-4.166666666666667,-6.5,0,2026 Grand Prix of Alabama Race 2 R2 (-15) | 2026 Detroit Grand Prix (-8) | 2026 Grand Prix at Mid-Ohio Race 2 R2 (-10)
driver_colin_kaminsky,Colin Kaminsky,12,8,4,0.6666666666666666,-2.8333333333333335,-5.416666666666667,0,2026 Grand Prix of Alabama Race 1 R1 (-8) | 2026 Grand Prix of Alabama Race 2 R2 (-11) | 2026 Grand Prix at Road America Race 2 R2 (-11) | 2026 Grand Prix at Mid-Ohio Race 2 R2 (-8)
driver_matteo_nannini,Matteo Nannini,12,5,7,0.4166666666666667,2.4166666666666665,1.4166666666666667,0,2026 Grand Prix of Arlington (+10) | 2026 Grand Prix at Road America Race 1 R1 (+16) | 2026 Grand Prix at Road America Race 2 R2 (+9)
driver_max_garcia,Max Garcia,12,3,9,0.25,2.5,3.4166666666666665,0,2026 Grand Prix of Alabama Race 2 R2 (-17) | 2026 Indianapolis Grand Prix Race 2 R2 (-11) | 2026 INDY NXT by Firestone at World Wide Technology Raceway (+15) | 2026 Grand Prix at Road America Race 1 R1 (+11)
driver_alessandro_de_tullio,Alessandro de Tullio,12,3,9,0.25,4.75,11.833333333333334,0,2026 Grand Prix of St. Petersburg (+8) | 2026 Grand Prix of Alabama Race 1 R1 (-12) | 2026 Indianapolis Grand Prix Race 1 R1 (+13) | 2026 Detroit Grand Prix (-14)
driver_jack_beeton,Jack Beeton,12,4,8,0.3333333333333333,5.0,4.5,0,2026 INDY NXT by Firestone at World Wide Technology Raceway (+12) | 2026 Grand Prix at Road America Race 1 R1 (+17) | 2026 Grand Prix at Mid-Ohio Race 1 R1 (+13) | 2026 Grand Prix at Mid-Ohio Race 2 R2 (+12)
driver_enzo_fittipaldi,Enzo Fittipaldi,12,1,11,0.08333333333333333,8.833333333333334,5.833333333333333,0,2026 Grand Prix of Arlington (+16) | 2026 Indianapolis Grand Prix Race 1 R1 (+21) | 2026 Indianapolis Grand Prix Race 2 R2 (+9) | 2026 INDY NXT by Firestone at World Wide Technology Raceway (+10)
driver_tymek_kucharczyk,Tymek Kucharczyk,12,0,12,0.0,10.75,7.25,0,2026 Grand Prix of St. Petersburg (+15) | 2026 Grand Prix of Arlington (+15) | 2026 Indianapolis Grand Prix Race 1 R1 (+18) | 2026 Indianapolis Grand Prix Race 2 R2 (+11)
driver_nicolas_stati,Nicolas Stati,11,7,4,0.6363636363636364,-1.7272727272727273,-2.5454545454545454,0,2026 Grand Prix of Alabama Race 2 R2 (-8) | 2026 Indianapolis Grand Prix Race 1 R1 (+8) | 2026 Indianapolis Grand Prix Race 2 R2 (-9)
driver_michael_d_orlando,Michael d'Orlando,10,3,7,0.3,4.0,-0.5,0,2024 Grand Prix of St. Petersburg (+15) | 2024 Indianapolis Grand Prix Race 2 R2 (+13) | 2024 Detroit Grand Prix (+10) | 2025 Grand Prix of Portland (+12)
driver_lindsay_brewer,Lindsay Brewer,8,6,2,0.75,-3.875,-11.75,0,2024 Grand Prix of Alabama (-11) | 2024 Grand Prix at Road America (-8) | 2024 Grand Prix of Monterey Race 2 R2 (-12)
driver_christian_brooks,Christian Brooks,8,5,3,0.625,1.125,2.5,0,2024 Grand Prix of Monterey Race 1 R1 (+8) | 2024 Grand Prix at Mid-Ohio (+13)
driver_liam_sceats,Liam Sceats,8,3,5,0.375,2.125,1.625,1,2025 Grand Prix of Alabama (+9) | 2025 Indianapolis Grand Prix Race 1 R1 (+8)
driver_evagoras_papasavvas,Evagoras Papasavvas,5,1,4,0.2,4.0,0.0,0,2025 Grand Prix of Alabama (+13)
driver_nolan_siegel,Nolan Siegel,5,0,5,0.0,10.4,5.6,0,2024 Grand Prix of St. Petersburg (+18) | 2024 Indianapolis Grand Prix Race 1 R1 (+12) | 2024 Indianapolis Grand Prix Race 2 R2 (+14)
driver_taylor_ferns,Taylor Ferns,4,4,0,1.0,-10.5,-7.5,0,2024 INDY NXT by Firestone at Iowa Speedway (-8) | 2024 OUTFRONT Showdown (-9) | 2024 INDY NXT By Firestone at The Milwaukee Mile (-14) | 2024 Music City Grand Prix (-11)
driver_davey_hamilton_jr,Davey Hamilton Jr.,4,4,0,1.0,-6.75,-3.75,0,2025 INDY NXT by Firestone at the Milwaukee Mile (-10) | 2025 Music City Grand Prix (-10)
driver_josh_mason,Josh Mason,2,1,1,0.5,-3.0,-9.0,0,2024 Grand Prix of Alabama (-8)
driver_kiko_porto,Kiko Porto,1,1,0,1.0,-4.0,-11.0,0,
driver_sophia_floersch,Sophia Floersch,1,0,1,0.0,1.0,3.0,1,
driver_jagger_jones,Jagger Jones,1,0,1,0.0,5.0,-5.0,0,
