sessionId,raceLabel,sectionName,sectionLengthMi,bryceRank,fieldRows,rankPercentile,time,speedMph,lapNumber,confidence,provenanceRefs
session_indy_nxt_2024_6315,2024 Indianapolis Grand Prix Race 1 R1,Backstretch,0.341287,7.0,21,0.7,00:07.6865,159.843,1,official,source_indy_nxt_2024_6315_top_section_times_pdf
session_indy_nxt_2024_6315,2024 Indianapolis Grand Prix Race 1 R1,Turn 7,0.16572,4.0,21,0.85,00:06.1998,96.228,8,official,source_indy_nxt_2024_6315_top_section_times_pdf
session_indy_nxt_2024_6315,2024 Indianapolis Grand Prix Race 1 R1,Turn 8/9,0.129167,15.0,21,0.30000000000000004,00:05.0948,91.27,6,official,source_indy_nxt_2024_6315_top_section_times_pdf
session_indy_nxt_2024_6315,2024 Indianapolis Grand Prix Race 1 R1,Turn 10,0.205114,13.0,22,0.4285714285714286,00:07.1620,103.101,6,official,source_indy_nxt_2024_6315_top_section_times_pdf
session_indy_nxt_2024_6315,2024 Indianapolis Grand Prix Race 1 R1,Turn 11,0.195264,7.0,21,0.7,00:04.8636,144.533,1,official,source_indy_nxt_2024_6315_top_section_times_pdf
session_indy_nxt_2024_6315,2024 Indianapolis Grand Prix Race 1 R1,Turn 12/13,0.152462,2.0,21,0.95,00:06.9915,78.504,7,official,source_indy_nxt_2024_6315_top_section_times_pdf
session_indy_nxt_2024_6315,2024 Indianapolis Grand Prix Race 1 R1,Turn 14,0.237878,6.0,21,0.75,00:07.7060,111.129,10,official,source_indy_nxt_2024_6315_top_section_times_pdf
session_indy_nxt_2024_6315,2024 Indianapolis Grand Prix Race 1 R1,FS - PI,0.164394,14.0,21,0.35,00:03.8258,154.691,33,official,source_indy_nxt_2024_6315_top_section_times_pdf
session_indy_nxt_2024_6315,2024 Indianapolis Grand Prix Race 1 R1,SF to I1,0.254167,14.0,21,0.35,00:05.2969,172.743,26,official,source_indy_nxt_2024_6315_top_section_times_pdf
session_indy_nxt_2024_6315,2024 Indianapolis Grand Prix Race 1 R1,I2 to I3,0.340719,9.0,21,0.6,00:11.4910,106.743,17,official,source_indy_nxt_2024_6315_top_section_times_pdf
session_indy_nxt_2024_6315,2024 Indianapolis Grand Prix Race 1 R1,I4 to I5,0.294886,5.0,21,0.8,00:11.3301,93.696,8,official,source_indy_nxt_2024_6315_top_section_times_pdf
session_indy_nxt_2024_6315,2024 Indianapolis Grand Prix Race 1 R1,SFT to SF,0.031155,11.0,21,0.5,00:00.6822,164.406,16,official,source_indy_nxt_2024_6315_top_section_times_pdf
session_indy_nxt_2024_6315,2024 Indianapolis Grand Prix Race 1 R1,I1T to I1,0.016383,17.0,21,0.19999999999999996,00:00.3319,177.701,32,official,source_indy_nxt_2024_6315_top_section_times_pdf
session_indy_nxt_2024_6315,2024 Indianapolis Grand Prix Race 1 R1,I4T to I4,0.022727,5.0,21,0.8,00:00.4672,175.122,1,official,source_indy_nxt_2024_6315_top_section_times_pdf
session_indy_nxt_2024_6315,2024 Indianapolis Grand Prix Race 1 R1,I6T to I6,0.020455,1.0,21,1.0,00:00.5066,145.357,33,official,source_indy_nxt_2024_6315_top_section_times_pdf
session_indy_nxt_2024_6315,2024 Indianapolis Grand Prix Race 1 R1,PI to SFP,0.194317,6.0,8,0.2857142857142857,00:48.0596,14.556,4,official,source_indy_nxt_2024_6315_top_section_times_pdf
