sessionId,raceLabel,lapNumber,position,flagState,provenanceRefs
session_indy_nxt_2024_6314,2024 Grand Prix of Alabama,21,5,,source_indy_nxt_2024_6314_lap_chart_pdf
session_indy_nxt_2024_6314,2024 Grand Prix of Alabama,22,5,,source_indy_nxt_2024_6314_lap_chart_pdf
session_indy_nxt_2024_6314,2024 Grand Prix of Alabama,23,5,,source_indy_nxt_2024_6314_lap_chart_pdf
session_indy_nxt_2024_6314,2024 Grand Prix of Alabama,24,5,,source_indy_nxt_2024_6314_lap_chart_pdf
session_indy_nxt_2024_6314,2024 Grand Prix of Alabama,25,5,,source_indy_nxt_2024_6314_lap_chart_pdf
session_indy_nxt_2024_6314,2024 Grand Prix of Alabama,26,5,,source_indy_nxt_2024_6314_lap_chart_pdf
session_indy_nxt_2024_6314,2024 Grand Prix of Alabama,27,5,,source_indy_nxt_2024_6314_lap_chart_pdf
session_indy_nxt_2024_6314,2024 Grand Prix of Alabama,28,5,,source_indy_nxt_2024_6314_lap_chart_pdf
session_indy_nxt_2024_6314,2024 Grand Prix of Alabama,29,5,,source_indy_nxt_2024_6314_lap_chart_pdf
session_indy_nxt_2024_6314,2024 Grand Prix of Alabama,30,5,,source_indy_nxt_2024_6314_lap_chart_pdf
session_indy_nxt_2024_6314,2024 Grand Prix of Alabama,31,5,,source_indy_nxt_2024_6314_lap_chart_pdf
session_indy_nxt_2024_6314,2024 Grand Prix of Alabama,32,5,,source_indy_nxt_2024_6314_lap_chart_pdf
session_indy_nxt_2024_6314,2024 Grand Prix of Alabama,33,7,,source_indy_nxt_2024_6314_lap_chart_pdf
session_indy_nxt_2024_6314,2024 Grand Prix of Alabama,34,8,,source_indy_nxt_2024_6314_lap_chart_pdf
session_indy_nxt_2024_6314,2024 Grand Prix of Alabama,35,8,,source_indy_nxt_2024_6314_lap_chart_pdf
session_indy_nxt_2024_6315,2024 Indianapolis Grand Prix Race 1 R1,1,12,,source_indy_nxt_2024_6315_lap_chart_pdf
session_indy_nxt_2024_6315,2024 Indianapolis Grand Prix Race 1 R1,2,17,,source_indy_nxt_2024_6315_lap_chart_pdf
session_indy_nxt_2024_6315,2024 Indianapolis Grand Prix Race 1 R1,3,17,,source_indy_nxt_2024_6315_lap_chart_pdf
session_indy_nxt_2024_6315,2024 Indianapolis Grand Prix Race 1 R1,4,16,,source_indy_nxt_2024_6315_lap_chart_pdf
session_indy_nxt_2024_6315,2024 Indianapolis Grand Prix Race 1 R1,5,18,,source_indy_nxt_2024_6315_lap_chart_pdf
session_indy_nxt_2024_6315,2024 Indianapolis Grand Prix Race 1 R1,6,19,,source_indy_nxt_2024_6315_lap_chart_pdf
session_indy_nxt_2024_6315,2024 Indianapolis Grand Prix Race 1 R1,7,18,,source_indy_nxt_2024_6315_lap_chart_pdf
session_indy_nxt_2024_6315,2024 Indianapolis Grand Prix Race 1 R1,8,18,,source_indy_nxt_2024_6315_lap_chart_pdf
session_indy_nxt_2024_6315,2024 Indianapolis Grand Prix Race 1 R1,9,18,,source_indy_nxt_2024_6315_lap_chart_pdf
session_indy_nxt_2024_6315,2024 Indianapolis Grand Prix Race 1 R1,10,18,,source_indy_nxt_2024_6315_lap_chart_pdf
session_indy_nxt_2024_6315,2024 Indianapolis Grand Prix Race 1 R1,11,18,,source_indy_nxt_2024_6315_lap_chart_pdf
session_indy_nxt_2024_6315,2024 Indianapolis Grand Prix Race 1 R1,12,18,,source_indy_nxt_2024_6315_lap_chart_pdf
session_indy_nxt_2024_6315,2024 Indianapolis Grand Prix Race 1 R1,13,17,,source_indy_nxt_2024_6315_lap_chart_pdf
session_indy_nxt_2024_6315,2024 Indianapolis Grand Prix Race 1 R1,14,17,,source_indy_nxt_2024_6315_lap_chart_pdf
session_indy_nxt_2024_6315,2024 Indianapolis Grand Prix Race 1 R1,15,17,,source_indy_nxt_2024_6315_lap_chart_pdf
session_indy_nxt_2024_6315,2024 Indianapolis Grand Prix Race 1 R1,16,17,,source_indy_nxt_2024_6315_lap_chart_pdf
session_indy_nxt_2024_6315,2024 Indianapolis Grand Prix Race 1 R1,17,17,,source_indy_nxt_2024_6315_lap_chart_pdf
session_indy_nxt_2024_6315,2024 Indianapolis Grand Prix Race 1 R1,18,17,,source_indy_nxt_2024_6315_lap_chart_pdf
session_indy_nxt_2024_6315,2024 Indianapolis Grand Prix Race 1 R1,19,16,,source_indy_nxt_2024_6315_lap_chart_pdf
session_indy_nxt_2024_6315,2024 Indianapolis Grand Prix Race 1 R1,20,16,,source_indy_nxt_2024_6315_lap_chart_pdf
