sessionId,eventId,seriesId,seriesName,seasonYear,roundIndex,eventName,sessionName,sourceFamily,sourceTable,qualiRank,qualiFieldSize,role,linkageTier,linkedRaceSessionIds,bestLapTime,gapToPole,provenanceRefs,sourceHash
session_gb3_2021_212005_qualifying,event_gb3_2021_r1_brands_hatch,series_gb3,GB3 Championship,2021,1,GB3 2021 Round 1 - Brands Hatch,Qualifying,official_qualifying,qualifyingResults,12,19,grid_setting,grid_confirmed,session_gb3_2021_212005_race_1_result,1:21.579,1.281,source_gb3_2021_212005_qu1_bf3_pdf,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_gb3_2021_212005_qualifying_2nd_fastest,event_gb3_2021_r1_brands_hatch,series_gb3,GB3 Championship,2021,1,GB3 2021 Round 1 - Brands Hatch,Qualifying 2nd Fastest,official_qualifying,qualifyingResults,12,19,secondary,secondary,,1:21.623,1.124,source_gb3_2021_212005_qu2_bf3_pdf,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_gb3_2021_212505_qualifying,event_gb3_2021_r2_silverstone,series_gb3,GB3 Championship,2021,2,GB3 2021 Round 2 - Silverstone,Qualifying,official_qualifying,qualifyingResults,12,16,grid_setting,unlinked_reverse_grid,,1:56.950,1.042,source_gb3_2021_212505_qu1_bf3_pdf,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_gb3_2021_212505_qualifying_2nd_fastest,event_gb3_2021_r2_silverstone,series_gb3,GB3 Championship,2021,2,GB3 2021 Round 2 - Silverstone,Qualifying 2nd Fastest,official_qualifying,qualifyingResults,11,16,secondary,secondary,session_gb3_2021_212505_race_2_result,1:57.219,1.265,source_gb3_2021_212505_qu2_bf3_pdf,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_gb3_2021_212705_qualifying,event_gb3_2021_r3_donington_park,series_gb3,GB3 Championship,2021,3,GB3 2021 Round 3 - Donington Park,Qualifying,official_qualifying,qualifyingResults,12,17,grid_setting,grid_confirmed,session_gb3_2021_212705_race_1_result;session_gb3_2021_212705_race_2_result,1:25.718,1.028,source_gb3_2021_212705_qu1_bf3_pdf,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_gb3_2021_212705_qualifying_2nd_fastest,event_gb3_2021_r3_donington_park,series_gb3,GB3 Championship,2021,3,GB3 2021 Round 3 - Donington Park,Qualifying 2nd Fastest,official_qualifying,qualifyingResults,12,17,secondary,secondary,,1:25.768,1.011,source_gb3_2021_212705_qu2_bf3_pdf,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_gb3_2021_212905_qualifying,event_gb3_2021_r4_spa_francorchamps,series_gb3,GB3 Championship,2021,4,GB3 2021 Round 4 - Spa-Francorchamps,Qualifying,official_qualifying,qualifyingResults,10,16,grid_setting,unlinked_reverse_grid,,2:20.205,0.894,source_gb3_2021_212905_qu1_bf3_pdf,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_gb3_2021_212905_qualifying_2nd_fastest,event_gb3_2021_r4_spa_francorchamps,series_gb3,GB3 Championship,2021,4,GB3 2021 Round 4 - Spa-Francorchamps,Qualifying 2nd Fastest,official_qualifying,qualifyingResults,9,16,secondary,secondary,session_gb3_2021_212905_race_1_result;session_gb3_2021_212905_race_2_result,2:20.350,0.902,source_gb3_2021_212905_qu2_bf3_pdf,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_gb3_2021_213105_qualifying,event_gb3_2021_r5_snetterton,series_gb3,GB3 Championship,2021,5,GB3 2021 Round 5 - Snetterton,Qualifying,official_qualifying,qualifyingResults,12,18,grid_setting,grid_confirmed,session_gb3_2021_213105_race_1_result;session_gb3_2021_213105_race_3_result,2:00.984,3.646,source_gb3_2021_213105_qu1_bf3_pdf,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_gb3_2021_213105_qualifying_2nd_fastest,event_gb3_2021_r5_snetterton,series_gb3,GB3 Championship,2021,5,GB3 2021 Round 5 - Snetterton,Qualifying 2nd Fastest,official_qualifying,qualifyingResults,6,18,secondary,secondary,session_gb3_2021_213105_race_2_result,2:01.540,1.573,source_gb3_2021_213105_qu2_bf3_pdf,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
