raceSessionId,qualiSessionId,seriesId,seriesName,seasonYear,roundIndex,eventName,raceLabel,raceNumber,sourceFamily,sourceTable,qualiRank,qualiFieldSize,grid,start,finish,raceFieldSize,linkageTier,conversionOutcome,qualiToFinish,gridToFinish,sourceHash
session_gb3_2021_213605_race_1_result,session_gb3_2021_213605_qualifying,series_gb3,GB3 Championship,2021,6,GB3 2021 Round 6 - Oulton Park,Race 1 Result,1,official_qualifying,qualifyingResults,15,17,15,15,14,16,grid_confirmed,ahead,1,1,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_gb3_2021_213605_race_2_result,session_gb3_2021_213605_qualifying,series_gb3,GB3 Championship,2021,6,GB3 2021 Round 6 - Oulton Park,Race 2 Result,2,official_qualifying,qualifyingResults,15,17,15,15,8,17,grid_confirmed,ahead,7,7,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_gb3_2021_214105_race_1_result,session_gb3_2021_214105_qualifying,series_gb3,GB3 Championship,2021,7,GB3 2021 Round 7 - Donington Park,Race 1 Result,1,official_qualifying,qualifyingResults,12,21,12,12,6,21,grid_confirmed,ahead,6,6,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_gb3_2021_214105_race_2_result,session_gb3_2021_214105_qualifying_2nd_fastest,series_gb3,GB3 Championship,2021,7,GB3 2021 Round 7 - Donington Park,Race 2 Result,2,official_qualifying,qualifyingResults,13,21,13,13,6,21,grid_confirmed,ahead,7,7,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_euroformula_2023_01-portimao-race-1,session_euroformula_2023_01-portimao-qualifying,series_euroformula_open,Euroformula Open,2023,1,Euroformula Open 2023 Round 1 - Portimao,Race 1,1,official_qualifying,qualifyingResults,5,10,5,5,5,10,grid_confirmed,held,0,0,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_euroformula_2023_02-spa_francorchamps-race-1,session_euroformula_2023_02-spa_francorchamps-qualifying,series_euroformula_open,Euroformula Open,2023,2,Euroformula Open 2023 Round 2 - Spa-Francorchamps,Race 1,1,official_qualifying,qualifyingResults,5,10,5,5,3,10,grid_confirmed,ahead,2,2,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_euroformula_2023_03-hungaroring-race-1,session_euroformula_2023_03-hungaroring-qualifying,series_euroformula_open,Euroformula Open,2023,3,Euroformula Open 2023 Round 3 - Hungaroring,Race 1,1,official_qualifying,qualifyingResults,7,10,7,7,6,10,grid_confirmed,ahead,1,1,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_euroformula_2023_03-hungaroring-race-3,session_euroformula_2023_03-hungaroring-qualifying,series_euroformula_open,Euroformula Open,2023,3,Euroformula Open 2023 Round 3 - Hungaroring,Race 3,3,official_qualifying,qualifyingResults,7,10,7,7,4,9,grid_confirmed,ahead,3,3,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_euroformula_2023_04-paul_ricard-race-1,session_euroformula_2023_04-paul_ricard-qualifying,series_euroformula_open,Euroformula Open,2023,4,Euroformula Open 2023 Round 4 - Paul Ricard,Race 1,1,official_qualifying,qualifyingResults,3,7,3,3,3,7,grid_confirmed,held,0,0,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_euroformula_2023_05-red_bull_ring-race-1,session_euroformula_2023_05-red_bull_ring-qualifying,series_euroformula_open,Euroformula Open,2023,5,Euroformula Open 2023 Round 5 - Red Bull Ring,Race 1,1,official_qualifying,qualifyingResults,5,9,5,5,6,9,grid_confirmed,behind,-1,-1,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
